RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
1,0,01926,Steve Pate,7
1,0,02218,Ted Tryba,7
3,0,01161,Mark Calcavecchia,6
3,0,01191,Barry Cheesman,6
3,0,01313,Steve Elkington,6
3,0,01381,Fred Funk,6
3,0,01943,Chris Perry,6
3,0,07749,Brett Quigley,6
9,0,01035,Tommy Armour III,5
9,0,01040,Emlyn Aubrey,5
9,0,20498,Briny Baird,5
9,0,01096,Phil Blackmar,5
9,0,01116,Michael Bradley,5
9,0,01226,Fred Couples,5
9,0,06621,Joe Durant,5
9,0,01329,Brad Faxon,5
9,0,21805,Harrison Frazar,5
9,0,01376,Bob Friend,5
9,0,01378,David Frost,5
9,0,10809,Jim Furyk,5
9,0,12645,Brent Geiberger,5
9,0,06643,Paul Goydos,5
9,0,01435,Wayne Grady,5
9,0,06575,Dudley Hart,5
9,0,01510,Nolan Henke,5
9,0,01549,Mike Hulbert,5
9,0,01619,Skip Kendall,5
9,0,06012,Greg Kraft,5
9,0,23552,Hank Kuehne,5
9,0,10860,Justin Leonard,5
9,0,01685,J.L. Lewis,5
9,0,01724,Jeff Maggert,5
9,0,01748,Doug Martin,5
9,0,06350,Bob May,5
9,0,10585,Scott McCarron,5
9,0,01810,Phil Mickelson,5
9,0,10457,Frank Nobilo,5
9,0,06373,José María Olazábal,5
9,0,06062,Charles Raulerson,5
9,0,02007,Larry Rinker,5
9,0,23621,Rory Sabbatini,5
9,0,10649,Tom Scherrer,5
9,0,21002,Óscar Serna,5
9,0,02101,Joey Sindelar,5
9,0,08375,Paul Stankowski,5
9,0,02146,Payne Stewart,5
9,0,02239,Scott Verplank,5
9,0,02242,Lanny Wadkins,5
9,0,02256,Tom Watson,5
9,0,08793,Tiger Woods,5
51,0,01014,Fulton Allem,4
51,0,10885,Robert Allenby,4
51,0,06004,Stephen Ames,4
51,0,20098,Stuart Appleby,4
51,0,07781,Ty Armstrong,4
51,0,07867,Woody Austin,4
51,0,19824,Craig Barlow,4
51,0,20099,Doug Barron,4
51,0,01063,Ben Bates,4
51,0,01072,Chip Beck,4
51,0,12652,Cameron Beckman,4
51,0,23614,Rich Beem,4
51,0,20029,Notah Begay III,4
51,0,01098,Jay Don Blake,4
51,0,06014,Eric Booker,4
51,0,01127,Danny Briggs,4
51,0,01132,Mark Brooks,4
51,0,01143,Brad Bryant,4
51,0,06809,Bob Burns,4
51,0,01157,Tom Byrum,4
51,0,01175,Jim Carter,4
51,0,20593,Greg Chalmers,4
51,0,20229,Stewart Cink,4
51,0,11123,Chris Couch,4
51,0,19881,Robert Damron,4
51,0,08931,Glen Day,4
51,0,01261,Jay Delsing,4
51,0,06251,Chris DiMarco,4
51,0,01282,Trevor Dodds,4
51,0,07763,Doug Dunakey,4
51,0,09011,David Duval,4
51,0,06522,Ernie Els,4
51,0,01320,Bob Estes,4
51,0,01323,Brad Fabel,4
51,0,01331,Rick Fehr,4
51,0,07457,Steve Flesch,4
51,0,01361,Dan Forsman,4
51,0,01374,Robin Freeman,4
51,0,06064,Jeff Gallagher,4
51,0,01385,Jim Gallagher Jr.,4
