RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
1,0,01677,Tom Lehman,76.09,105,138,-0.19
2,0,24507,Jason Bohn,73.31,239,326,-0.21
3,0,23788,D.J. Trahan,71.95,236,328,-0.17
4,0,12510,Chad Campbell,71.90,197,274,-0.20
5,0,26497,Casey Wittenberg,71.78,145,202,-0.18
6,0,06539,Rick Price,71.52,108,151,-0.07
7,0,24024,Zach Johnson,71.33,214,300,-0.19
8,0,06621,Joe Durant,71.21,141,198,-0.22
9,0,24925,Jonathan Byrd,71.20,220,309,-0.17
10,0,07457,Steve Flesch,70.54,182,258,-0.09
11,0,24781,Hunter Mahan,70.48,191,271,-0.19
12,0,20691,Greg Owen,70.34,230,327,-0.13
13,0,24358,Robert Garrigus,70.33,173,246,-0.10
14,0,10425,Jay Williamson,70.25,170,242,-0.09
15,0,10585,Scott McCarron,70.11,244,348,-0.20
16,0,26420,Richard Johnson,69.90,202,289,-0.21
17,0,24503,Jeff Klauk,69.89,253,362,-0.17
18,0,01161,Mark Calcavecchia,69.83,169,242,-0.18
19,0,01313,Steve Elkington,69.71,191,274,-0.20
20,0,02206,David Toms,69.31,210,303,-0.20
21,0,10885,Robert Allenby,69.11,170,246,-0.12
22,0,08845,Scott Sterling,69.09,114,165,-0.19
23,0,02239,Scott Verplank,69.07,230,333,-0.24
24,0,01226,Fred Couples,69.01,98,142,-0.26
25,0,06012,Greg Kraft,68.94,111,161,-0.16
25,0,23497,Tag Ridings,68.94,111,161,-0.14
27,0,20498,Briny Baird,68.93,213,309,-0.19
28,0,27120,Troy Matteson,68.90,226,328,-0.16
29,0,27466,Spencer Levin,68.70,180,262,-0.15
30,0,06004,Stephen Ames,68.44,154,225,-0.11
31,0,20127,Chris Riley,68.25,187,274,-0.23
32,0,21209,Sergio Garcia,68.24,116,170,-0.22
33,0,20472,Alex Cejka,68.15,199,292,-0.15
33,0,27963,Chris Stroud,68.15,199,292,-0.18
35,0,20645,John Senden,68.06,245,360,-0.13
36,0,23135,Tim Clark,67.84,154,227,-0.22
37,0,22405,Justin Rose,67.76,145,214,-0.16
38,0,20160,Charlie Wi,67.71,216,319,-0.23
39,0,27770,Camilo Villegas,67.56,152,225,-0.11
40,0,22348,Nick O'Hern,67.28,220,327,-0.16
41,0,22548,Patrick Sheehan,67.26,113,168,-0.10
42,0,10809,Jim Furyk,67.19,170,253,-0.19
43,0,10423,Mike Weir,67.17,178,265,-0.22
44,0,26596,Ryan Moore,67.16,182,271,-0.18
45,0,21961,Charles Howell III,67.12,196,292,-0.15
46,0,24846,Ricky Barnes,67.01,130,194,-0.07
47,0,01797,Rocco Mediate,66.79,183,274,-0.17
48,0,26289,Boo Weekley,66.67,158,237,-0.14
48,0,08793,Tiger Woods,66.67,126,189,-0.21
50,0,24912,Will MacKenzie,66.52,147,221,-0.13
51,0,25686,Jason Dufner,66.33,197,297,-0.16
52,0,12652,Cameron Beckman,66.32,189,285,-0.22
52,0,21731,Freddie Jacobson,66.32,193,291,-0.20
54,0,06567,Vijay Singh,66.28,114,172,-0.10
55,0,27214,Kevin Streelman,66.27,222,335,-0.18
56,0,28158,Steve Marino,66.25,214,323,-0.14
57,0,20098,Stuart Appleby,66.24,157,237,-0.14
58,0,06522,Ernie Els,66.20,143,216,-0.22
59,0,10860,Justin Leonard,66.08,187,283,-0.19
60,0,26300,Matt Jones,66.03,103,156,-0.17
61,0,26668,Marc Turnesa,65.96,188,285,-0.12
62,0,28087,Kris Blanks,65.91,116,176,-0.23
63,0,23983,Luke Donald,65.84,160,243,-0.29
64,0,01035,Tommy Armour III,65.83,131,199,-0.18
64,0,25240,D.A. Points,65.83,237,360,-0.14
66,0,27649,Brandt Snedeker,65.75,167,254,-0.27
67,0,07749,Brett Quigley,65.74,190,289,-0.17
68,0,26476,Chez Reavie,65.52,190,290,-0.15
69,0,22293,Heath Slocum,65.48,220,336,-0.15
70,0,26851,Marc Leishman,65.44,214,327,-0.20
71,0,23718,Nathan Green,65.41,225,344,-0.14
72,0,23614,Rich Beem,65.33,147,225,-0.14
73,0,27933,John Merrick,65.26,186,285,-0.19
74,0,01945,Kenny Perry,65.20,163,250,-0.18
75,0,06251,Chris DiMarco,65.12,224,344,-0.21
76,0,20593,Greg Chalmers,65.07,177,272,-0.20
77,0,23541,Ben Crane,65.05,201,309,-0.21
78,0,01577,Lee Janzen,65.04,160,246,-0.20
78,0,01928,Corey Pavin,65.04,147,226,-0.24
80,0,12602,Dean Wilson,65.02,184,283,-0.18
81,0,09011,David Duval,64.94,100,154,-0.17
81,0,28620,Aron Price,64.94,200,308,-0.12
83,0,19846,Brian Gay,64.77,182,281,-0.24
84,0,25632,Jimmy Walker,64.64,181,280,-0.11
85,0,26301,James Nitties,64.63,190,294,-0.21
86,0,26679,Kevin Stadler,64.59,135,209,-0.18
87,0,01948,Tim Petrovic,64.55,213,330,-0.12
88,0,06527,Steve Stricker,64.38,150,233,-0.20
89,0,10733,Kent Jones,64.29,153,238,-0.14
89,0,02214,Kirk Triplett,64.29,135,210,-0.18
91,0,01320,Bob Estes,64.21,174,271,-0.19
92,0,27095,Nick Watney,64.14,152,237,-0.13
93,0,24490,George McNeill,64.13,177,276,-0.15
94,0,01724,Jeff Maggert,63.96,181,283,-0.10
95,0,21878,Mark Wilson,63.95,243,380,-0.17
96,0,01706,Davis Love III,63.93,195,305,-0.14
97,0,23325,Vaughn Taylor,63.92,202,316,-0.20
98,0,24361,Pat Perez,63.91,147,230,-0.22
99,0,23638,Brendon de Jonge,63.89,207,324,-0.21
100,0,23800,Bryce Molder,63.76,139,218,-0.21
101,0,06595,Kevin Sutherland,63.73,188,295,-0.19
102,0,06197,Michael Allen,63.67,156,245,-0.21
103,0,21959,Ted Purdy,63.55,211,332,-0.13
104,0,26695,Michael Letzig,63.53,209,329,-0.22
105,0,23548,Bill Lunde,63.52,195,307,-0.12
106,0,23623,Bo Van Pelt,63.43,196,309,-0.19
107,0,06643,Paul Goydos,63.40,149,235,-0.18
108,0,01766,Billy Mayfair,63.36,185,292,-0.12
108,0,25190,Jeff Quinney,63.36,185,292,-0.17
110,0,25396,Kevin Na,63.33,209,330,-0.29
111,0,25900,Lucas Glover,63.21,201,318,-0.15
112,0,26881,Jarrod Lyle,63.18,127,201,-0.15
113,0,01941,Tom Pernice Jr.,63.16,204,323,-0.15
114,0,10117,Bob Heintz,63.01,138,219,-0.22
115,0,22621,Ben Curtis,62.96,119,189,-0.11
115,0,23108,Matt Kuchar,62.96,187,297,-0.23
117,0,25345,Carl Pettersson,62.94,180,286,-0.22
118,0,08931,Glen Day,62.89,161,256,-0.09
119,0,20104,Ken Duke,62.81,179,285,-0.11
120,0,24663,Y.E. Yang,62.74,165,263,-0.18
121,0,01142,Bart Bryant,62.68,131,209,-0.15
121,0,21753,Brian Davis,62.68,215,343,-0.17
123,0,24357,K.J. Choi,62.57,112,179,-0.16
124,0,24449,Parker McLachlin,62.55,157,251,-0.25
125,0,01810,Phil Mickelson,62.50,105,168,-0.17
126,0,30711,Colt Knost,62.44,138,221,-0.12
127,0,23353,J.J. Henry,62.40,224,359,-0.17
128,0,28780,Nicholas Thompson,62.38,194,311,-0.16
129,0,27060,John Mallinger,62.32,172,276,-0.17
130,0,20070,Matt Bettencourt,62.30,195,313,-0.13
131,0,21805,Harrison Frazar,62.26,198,318,-0.24
132,0,07223,Brian Bateman,62.24,122,196,-0.19
133,0,07867,Woody Austin,62.08,185,298,-0.21
134,0,21350,Ryuji Imada,61.94,166,268,-0.19
135,0,20634,Peter Lonard,61.89,203,328,-0.14
136,0,30925,Dustin Johnson,61.69,124,201,-0.15
137,0,20157,Retief Goosen,61.54,128,208,-0.19
138,0,12716,Charley Hoffman,61.41,191,311,-0.24
138,0,26951,Johnson Wagner,61.41,183,298,-0.17
140,0,26498,Matt Weibring,61.29,152,248,-0.19
141,0,22892,Jason Gore,61.24,158,258,-0.13
142,0,12705,Cliff Kresge,61.17,167,273,-0.16
142,0,24140,Sean O'Hair,61.17,126,206,-0.16
