RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL 3+ PUTTS,TOTAL ROUNDS
1,0,22046,Geoff Ogilvy,.06,5,82
2,0,01724,Jeff Maggert,.05,4,81
3,0,22371,Aaron Baddeley,.04,3,67
3,0,01388,Robert Gamez,.04,4,114
3,0,24361,Pat Perez,.04,4,93
3,0,23621,Rory Sabbatini,.04,4,93
3,0,02049,Gene Sauers,.04,3,85
3,0,20436,Garrett Willis,.04,4,96
9,0,12661,Todd Barranger,.03,2,75
9,0,20029,Notah Begay III,.03,3,90
9,0,06573,Brandt Jobe,.03,2,77
9,0,06332,Neal Lancaster,.03,3,107
9,0,01707,Steve Lowery,.03,2,80
9,0,01810,Phil Mickelson,.03,2,80
9,0,11011,Mike Sposa,.03,2,70
9,0,02214,Kirk Triplett,.03,3,90
17,0,06004,Stephen Ames,.02,2,89
17,0,20498,Briny Baird,.02,2,109
17,0,19824,Craig Barlow,.02,2,93
17,0,06809,Bob Burns,.02,2,84
17,0,24925,Jonathan Byrd,.02,2,101
17,0,19825,Darren Clarke,.02,1,54
17,0,01249,John Daly,.02,1,56
17,0,06522,Ernie Els,.02,1,60
17,0,21209,Sergio Garcia,.02,1,57
17,0,01685,J.L. Lewis,.02,2,97
17,0,12680,Shigeki Maruyama,.02,2,85
17,0,12660,Jesper Parnevik,.02,2,100
17,0,07749,Brett Quigley,.02,2,88
17,0,02002,John Riegger,.02,1,52
17,0,23034,Brent Schwarzrock,.02,1,58
17,0,02104,Jeff Sluman,.02,2,104
17,0,23177,Kenneth Staton,.02,1,57
17,0,10425,Jay Williamson,.02,2,92
17,0,26489,Cameron Yancey,.02,1,56
17,0,20566,Kaname Yokoo,.02,1,54
37,0,23036,Chris Anderson,.01,1,96
37,0,20098,Stuart Appleby,.01,1,85
37,0,07867,Woody Austin,.01,1,104
37,0,01042,Paul Azinger,.01,1,73
37,0,21739,Aaron Barber,.01,1,94
37,0,23614,Rich Beem,.01,1,77
37,0,01098,Jay Don Blake,.01,1,75
37,0,08123,Jeff Brehaut,.01,1,107
37,0,01161,Mark Calcavecchia,.01,1,84
37,0,20472,Alex Cejka,.01,1,91
37,0,24357,K.J. Choi,.01,1,106
37,0,23135,Tim Clark,.01,1,78
37,0,22621,Ben Curtis,.01,1,69
37,0,08931,Glen Day,.01,1,101
37,0,06251,Chris DiMarco,.01,1,93
37,0,07457,Steve Flesch,.01,1,108
37,0,12823,Carlos Franco,.01,1,97
37,0,10809,Jim Furyk,.01,1,101
37,0,19846,Brian Gay,.01,1,97
37,0,10201,Matt Gogel,.01,1,73
37,0,22892,Jason Gore,.01,1,83
37,0,23353,J.J. Henry,.01,1,96
37,0,12782,Tim Herron,.01,1,100
37,0,01553,John Huston,.01,1,75
37,0,01569,Peter Jacobsen,.01,1,75
37,0,08633,Per-Ulrik Johansson,.01,1,96
37,0,10733,Kent Jones,.01,1,70
37,0,20094,Jonathan Kaye,.01,1,88
37,0,08075,Jerry Kelly,.01,1,104
37,0,12705,Cliff Kresge,.01,1,100
37,0,20940,Kenichi Kuboya,.01,1,89
37,0,01677,Tom Lehman,.01,1,82
37,0,11032,Frank Lickliter II,.01,1,91
37,0,20634,Peter Lonard,.01,1,90
37,0,01723,Andrew Magee,.01,1,89
37,0,01761,Len Mattiace,.01,1,93
37,0,10585,Scott McCarron,.01,1,81
37,0,20628,Arron Oberholser,.01,1,80
37,0,20568,Anthony Painter,.01,1,85
37,0,20572,Rod Pampling,.01,1,83
37,0,20663,Brenden Pappas,.01,1,103
37,0,01928,Corey Pavin,.01,1,86
37,0,10912,Craig Perks,.01,1,79
37,0,01941,Tom Pernice Jr.,.01,1,102
37,0,01945,Kenny Perry,.01,1,97
37,0,01948,Tim Petrovic,.01,1,104
37,0,25692,Akio Sadakata,.01,1,81
37,0,20645,John Senden,.01,1,107
37,0,07101,Dave Stockton Jr.,.01,1,77
37,0,06581,David Sutherland,.01,1,73
37,0,06595,Kevin Sutherland,.01,1,94
37,0,02170,Hal Sutton,.01,1,81
37,0,20548,Hidemichi Tanaka,.01,1,112
37,0,02206,David Toms,.01,1,81
37,0,02239,Scott Verplank,.01,1,96
37,0,02246,Duffy Waldorf,.01,1,86
37,0,21878,Mark Wilson,.01,1,80
