RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,01226,Fred Couples,-.286
2,0,21806,Paul Gow,-.279
3,0,08931,Glen Day,-.278
4,0,01553,John Huston,-.271
5,0,20573,Scott Laycock,-.261
6,0,02223,Bob Tway,-.257
7,0,10809,Jim Furyk,-.256
7,0,10201,Matt Gogel,-.256
9,0,06643,Paul Goydos,-.250
10,0,20157,Retief Goosen,-.242
11,0,02104,Jeff Sluman,-.239
11,0,08793,Tiger Woods,-.239
13,0,08075,Jerry Kelly,-.236
14,0,06515,Shaun Micheel,-.235
15,0,20229,Stewart Cink,-.229
15,0,01388,Robert Gamez,-.229
17,0,08339,Spike McRoy,-.228
18,0,06567,Vijay Singh,-.226
19,0,01797,Rocco Mediate,-.224
20,0,23983,Luke Donald,-.222
21,0,11032,Frank Lickliter II,-.221
22,0,01378,David Frost,-.216
23,0,01139,Olin Browne,-.215
24,0,21739,Aaron Barber,-.210
24,0,20121,Todd Fischer,-.210
26,0,01707,Steve Lowery,-.208
27,0,20099,Doug Barron,-.205
27,0,06581,David Sutherland,-.205
29,0,07867,Woody Austin,-.204
30,0,01968,Nick Price,-.203
31,0,07223,Brian Bateman,-.200
31,0,22913,John Rollins,-.200
33,0,22295,Darron Stiles,-.198
34,0,01941,Tom Pernice Jr.,-.197
35,0,06251,Chris DiMarco,-.196
36,0,10107,Deane Pappas,-.195
37,0,12662,Thomas Levet,-.193
38,0,10423,Mike Weir,-.192
39,0,07101,Dave Stockton Jr.,-.189
40,0,06575,Dudley Hart,-.188
41,0,08537,J.P. Hayes,-.186
41,0,10213,Dicky Pride,-.186
43,0,12782,Tim Herron,-.185
43,0,20572,Rod Pampling,-.185
45,0,20548,Hidemichi Tanaka,-.182
46,0,02010,Loren Roberts,-.181
47,0,08337,Mike Heinen,-.180
47,0,12680,Shigeki Maruyama,-.180
47,0,01945,Kenny Perry,-.180
50,0,24925,Jonathan Byrd,-.178
51,0,01098,Jay Don Blake,-.176
52,0,23036,Chris Anderson,-.175
52,0,26420,Richard Johnson,-.175
54,0,07457,Steve Flesch,-.174
55,0,12823,Carlos Franco,-.173
56,0,02106,Chris Smith,-.172
57,0,23541,Ben Crane,-.171
57,0,06522,Ernie Els,-.171
57,0,23034,Brent Schwarzrock,-.171
60,0,12645,Brent Geiberger,-.169
61,0,02170,Hal Sutton,-.168
62,0,20472,Alex Cejka,-.167
62,0,01706,Davis Love III,-.167
64,0,10885,Robert Allenby,-.165
65,0,01723,Andrew Magee,-.164
66,0,01024,Billy Andrade,-.163
66,0,07721,Pat Bates,-.163
66,0,01685,J.L. Lewis,-.163
66,0,01766,Billy Mayfair,-.163
70,0,06034,Marco Dawson,-.162
71,0,01619,Skip Kendall,-.159
72,0,12510,Chad Campbell,-.158
73,0,01724,Jeff Maggert,-.155
73,0,24502,Adam Scott,-.155
75,0,20498,Briny Baird,-.154
75,0,01381,Fred Funk,-.154
77,0,07749,Brett Quigley,-.152
77,0,20436,Garrett Willis,-.152
79,0,01938,David Peoples,-.151
80,0,01329,Brad Faxon,-.150
81,0,22293,Heath Slocum,-.149
82,0,01157,Tom Byrum,-.148
83,0,22371,Aaron Baddeley,-.147
84,0,06004,Stephen Ames,-.146
84,0,01457,Jay Haas,-.146
84,0,06617,Brian Henninger,-.146
87,0,23108,Matt Kuchar,-.143
88,0,24357,K.J. Choi,-.142
88,0,07941,Mike Grob,-.142
88,0,01569,Peter Jacobsen,-.142
91,0,08123,Jeff Brehaut,-.141
91,0,23552,Hank Kuehne,-.141
93,0,01320,Bob Estes,-.140
93,0,01361,Dan Forsman,-.140
95,0,01042,Paul Azinger,-.138
96,0,23656,Jason Caron,-.137
96,0,11011,Mike Sposa,-.137
98,0,01035,Tommy Armour III,-.136
99,0,01948,Tim Petrovic,-.133
99,0,02049,Gene Sauers,-.133
101,0,10860,Justin Leonard,-.131
102,0,23135,Tim Clark,-.130
102,0,12705,Cliff Kresge,-.130
104,0,01666,Bernhard Langer,-.128
105,0,20094,Jonathan Kaye,-.127
106,0,02246,Duffy Waldorf,-.126
107,0,01810,Phil Mickelson,-.125
108,0,10733,Kent Jones,-.124
109,0,08375,Paul Stankowski,-.123
110,0,19824,Craig Barlow,-.121
110,0,01761,Len Mattiace,-.121
112,0,21961,Charles Howell III,-.120
113,0,02101,Joey Sindelar,-.119
113,0,06595,Kevin Sutherland,-.119
115,0,23338,David Gossett,-.118
115,0,23177,Kenneth Staton,-.118
117,0,02214,Kirk Triplett,-.117
118,0,08725,Tom Gillis,-.110
118,0,22892,Jason Gore,-.110
120,0,01475,Donnie Hammond,-.109
121,0,25692,Akio Sadakata,-.107
121,0,02239,Scott Verplank,-.107
121,0,21878,Mark Wilson,-.107
124,0,01249,John Daly,-.106
125,0,10565,Ian Leggatt,-.105
126,0,20593,Greg Chalmers,-.104
126,0,19825,Darren Clarke,-.104
128,0,08633,Per-Ulrik Johansson,-.098
128,0,02206,David Toms,-.098
130,0,20095,Carl Paulson,-.097
130,0,20566,Kaname Yokoo,-.097
132,0,02002,John Riegger,-.096
132,0,06527,Steve Stricker,-.096
134,0,06621,Joe Durant,-.094
134,0,06332,Neal Lancaster,-.094
134,0,20628,Arron Oberholser,-.094
137,0,08547,John Maginnes,-.090
137,0,20568,Anthony Painter,-.090
137,0,20127,Chris Riley,-.090
140,0,12652,Cameron Beckman,-.089
140,0,20574,Mathew Goggin,-.089
142,0,23614,Rich Beem,-.088
143,0,21209,Sergio Garcia,-.087
143,0,23353,J.J. Henry,-.087
145,0,20029,Notah Begay III,-.085
146,0,22046,Geoff Ogilvy,-.084
147,0,20623,Gavin Coles,-.081
148,0,26950,John Morgan,-.079
149,0,19972,José Coceres,-.077
149,0,20645,John Senden,-.077
151,0,01307,Joel Edwards,-.074
151,0,12660,Jesper Parnevik,-.074
151,0,22548,Patrick Sheehan,-.074
154,0,21805,Harrison Frazar,-.071
154,0,20634,Peter Lonard,-.071
156,0,06809,Bob Burns,-.069
157,0,24356,Jason Buha,-.068
158,0,01132,Mark Brooks,-.067
158,0,24361,Pat Perez,-.067
160,0,01887,Mark O'Meara,-.065
161,0,01928,Corey Pavin,-.062
162,0,23621,Rory Sabbatini,-.056
162,0,12602,Dean Wilson,-.056
164,0,10425,Jay Williamson,-.055
165,0,20771,Steven Alker,-.050
166,0,06573,Brandt Jobe,-.049
167,0,19881,Robert Damron,-.048
168,0,06078,Esteban Toledo,-.044
