RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 260-280,TOTAL DRIVES - OVERALL,RELATIVE TO PAR
1,0,01823,Larry Mize,41.12,264,642,+0.004
2,0,01219,John Cook,40.57,329,811,+0.015
3,0,20127,Chris Riley,40.17,235,585,+0.072
4,0,19972,José Coceres,40.00,296,740,+0.007
5,0,20099,Doug Barron,39.98,359,898,-0.017
6,0,01887,Mark O'Meara,39.30,281,715,+0.032
7,0,20623,Gavin Coles,39.28,348,886,-0.017
8,0,21878,Mark Wilson,39.20,345,880,+0.046
9,0,01619,Skip Kendall,39.10,382,977,-0.003
10,0,20121,Todd Fischer,38.98,474,1216,+0.051
11,0,01761,Len Mattiace,38.94,412,1058,+0.039
12,0,19846,Brian Gay,38.83,499,1285,-0.008
13,0,01132,Mark Brooks,38.77,335,864,+0.113
13,0,08385,Omar Uresti,38.77,397,1024,-0.073
15,0,02214,Kirk Triplett,38.37,236,615,+0.055
16,0,01381,Fred Funk,37.92,433,1142,-0.053
17,0,21806,Paul Gow,37.87,356,940,+0.067
18,0,02239,Scott Verplank,37.80,347,918,-0.037
19,0,21753,Brian Davis,37.73,332,880,-0.051
20,0,01457,Jay Haas,37.68,205,544,-0.034
21,0,06251,Chris DiMarco,37.50,309,824,-0.026
22,0,20382,Stephen Leaney,37.42,391,1045,-0.010
23,0,01487,Jeff Hart,37.34,298,798,-0.034
24,0,19881,Robert Damron,37.17,410,1103,+0.056
25,0,02010,Loren Roberts,37.16,249,670,-0.032
26,0,12826,Paul Claxton,37.13,342,921,+0.026
27,0,02104,Jeff Sluman,36.69,430,1172,-0.019
28,0,22293,Heath Slocum,36.41,457,1255,-0.007
29,0,20548,Hidemichi Tanaka,36.20,475,1312,-0.002
30,0,23135,Tim Clark,36.16,324,896,-0.043
31,0,01388,Robert Gamez,36.00,401,1114,-0.020
32,0,01329,Brad Faxon,35.93,286,796,-0.035
33,0,08537,J.P. Hayes,35.91,265,738,-0.015
34,0,23983,Luke Donald,35.89,201,560,-0.055
35,0,01320,Bob Estes,35.84,395,1102,-0.008
35,0,08993,Franklin Langham,35.84,381,1063,+0.071
37,0,01127,Danny Briggs,35.83,306,854,+0.026
38,0,12652,Cameron Beckman,35.61,417,1171,+0.029
39,0,01157,Tom Byrum,35.57,377,1060,+0.032
40,0,25396,Kevin Na,35.45,391,1103,-0.015
41,0,01577,Lee Janzen,35.24,290,823,+0.014
42,0,08075,Jerry Kelly,35.20,371,1054,-0.019
43,0,10860,Justin Leonard,34.96,265,758,+0.045
44,0,23108,Matt Kuchar,34.68,267,770,-0.026
45,0,22621,Ben Curtis,34.55,237,686,+0.046
46,0,01175,Jim Carter,34.48,261,757,+0.123
46,0,01599,Steve Jones,34.48,221,641,+0.041
48,0,02223,Bob Tway,34.39,316,919,+0.022
49,0,23036,Chris Anderson,34.32,278,810,+0.040
49,0,20474,Phillip Price,34.32,302,880,-0.053
51,0,10201,Matt Gogel,33.97,319,939,E
52,0,06621,Joe Durant,33.93,323,952,+0.062
53,0,01677,Tom Lehman,33.76,235,696,+0.064
54,0,10809,Jim Furyk,33.63,335,996,-0.039
55,0,20472,Alex Cejka,33.61,323,961,+0.046
56,0,01024,Billy Andrade,33.53,342,1020,-0.047
57,0,28088,Matt Davidson,33.48,233,696,+0.056
58,0,10425,Jay Williamson,33.28,215,646,+0.037
59,0,01139,Olin Browne,33.13,383,1156,+0.016
60,0,10423,Mike Weir,33.08,218,659,+0.014
61,0,02246,Duffy Waldorf,33.03,327,990,-0.024
62,0,25847,Rob Rashell,32.89,249,757,+0.120
63,0,01724,Jeff Maggert,32.78,274,836,+0.018
64,0,08545,Glen Hnatiuk,32.76,229,699,+0.013
65,0,08725,Tom Gillis,32.74,311,950,+0.051
66,0,10733,Kent Jones,32.68,400,1224,+0.083
66,0,20628,Arron Oberholser,32.68,232,710,+0.009
68,0,24138,Ian Poulter,32.67,164,502,+0.110
69,0,01042,Paul Azinger,32.47,264,813,+0.011
70,0,22295,Darron Stiles,32.44,314,968,+0.010
71,0,01142,Bart Bryant,32.36,344,1063,-0.003
72,0,12602,Dean Wilson,32.12,354,1102,-0.017
73,0,01313,Steve Elkington,32.02,244,762,-0.020
74,0,06575,Dudley Hart,31.98,323,1010,-0.040
75,0,21949,Joe Ogilvie,31.93,348,1090,+0.057
76,0,01948,Tim Petrovic,31.56,349,1106,+0.046
77,0,06373,José María Olazábal,31.53,181,574,-0.022
78,0,07457,Steve Flesch,31.37,277,883,E
79,0,01797,Rocco Mediate,31.27,283,905,+0.011
80,0,20812,Tjaart van der Walt,31.25,235,752,+0.055
81,0,01035,Tommy Armour III,31.23,396,1268,+0.081
82,0,12645,Brent Geiberger,31.22,226,724,+0.018
83,0,01418,Bill Glasson,31.11,191,614,+0.089
84,0,01928,Corey Pavin,31.02,264,851,-0.068
85,0,01666,Bernhard Langer,30.94,194,627,+0.021
86,0,24357,K.J. Choi,30.86,233,755,+0.004
87,0,08123,Jeff Brehaut,30.82,270,876,-0.011
88,0,08931,Glen Day,30.72,314,1022,+0.080
89,0,20498,Briny Baird,30.61,379,1238,+0.024
90,0,02206,David Toms,30.47,270,886,-0.056
91,0,06004,Stephen Ames,30.40,259,852,+0.042
92,0,01161,Mark Calcavecchia,30.09,319,1060,+0.013
93,0,01766,Billy Mayfair,30.03,424,1412,E
94,0,01685,J.L. Lewis,29.96,338,1128,-0.003
95,0,20160,Charlie Wi,29.93,252,842,+0.091
96,0,24604,Hunter Haas,29.80,301,1010,+0.110
97,0,20766,Padraig Harrington,29.79,168,564,E
98,0,20229,Stewart Cink,29.74,295,992,+0.020
99,0,12454,Mario Tiziani,29.52,248,840,+0.024
100,0,12680,Shigeki Maruyama,29.51,350,1186,+0.023
101,0,23325,Vaughn Taylor,29.49,368,1248,+0.027
102,0,24227,Justin Bolli,29.44,242,822,+0.041
103,0,21498,Hideto Tanihara,29.39,184,626,+0.152
104,0,06595,Kevin Sutherland,29.30,303,1034,+0.050
105,0,11032,Frank Lickliter II,29.10,348,1196,+0.029
106,0,12662,Thomas Levet,29.03,146,503,+0.144
107,0,20396,Lee Westwood,29.00,134,462,+0.149
108,0,01941,Tom Pernice Jr.,28.97,356,1229,-0.022
109,0,10912,Craig Perks,28.75,234,814,+0.124
110,0,23614,Rich Beem,28.70,192,669,+0.115
111,0,20634,Peter Lonard,28.65,263,918,+0.072
112,0,22371,Aaron Baddeley,28.48,299,1050,+0.033
113,0,06527,Steve Stricker,28.40,234,824,-0.026
114,0,21350,Ryuji Imada,28.29,262,926,+0.015
115,0,25240,D.A. Points,28.25,324,1147,+0.065
116,0,06515,Shaun Micheel,28.17,249,884,E
117,0,21731,Freddie Jacobson,27.85,215,772,+0.028
118,0,20433,Mark Hensby,27.81,193,694,+0.093
119,0,01707,Steve Lowery,27.51,331,1203,+0.076
120,0,24361,Pat Perez,27.20,278,1022,+0.119
121,0,26420,Richard Johnson,27.19,174,640,+0.017
122,0,22548,Patrick Sheehan,27.04,362,1339,+0.091
123,0,24024,Zach Johnson,26.98,314,1164,-0.080
124,0,12782,Tim Herron,26.77,287,1072,-0.042
125,0,10585,Scott McCarron,26.75,225,841,+0.058
126,0,21407,Arjun Atwal,26.71,227,850,-0.004
127,0,02101,Joey Sindelar,26.50,363,1370,+0.011
128,0,07749,Brett Quigley,26.49,311,1174,+0.045
129,0,19824,Craig Barlow,26.36,232,880,+0.039
130,0,07223,Brian Bateman,26.27,311,1184,+0.071
131,0,06197,Michael Allen,26.23,282,1075,+0.096
132,0,23623,Bo Van Pelt,26.06,337,1293,-0.039
133,0,07867,Woody Austin,25.99,328,1262,+0.052
134,0,24507,Jason Bohn,25.93,293,1130,+0.082
135,0,10962,Bradley Hughes,25.81,176,682,+0.085
136,0,01553,John Huston,25.79,284,1101,+0.053
137,0,01723,Andrew Magee,25.54,250,979,+0.140
138,0,25345,Carl Pettersson,25.52,331,1297,+0.033
139,0,20645,John Senden,25.14,316,1257,+0.032
140,0,20691,Greg Owen,25.10,246,980,+0.089
141,0,24781,Hunter Mahan,24.88,322,1294,+0.016
141,0,22405,Justin Rose,24.88,306,1230,E
143,0,20094,Jonathan Kaye,24.69,222,899,+0.077
144,0,01361,Dan Forsman,24.62,160,650,+0.050
145,0,26287,Roland Thatcher,24.41,229,938,+0.035
146,0,10117,Bob Heintz,24.25,210,866,+0.133
147,0,12660,Jesper Parnevik,24.15,226,936,+0.066
148,0,01473,Todd Hamilton,24.09,251,1042,+0.139
149,0,21951,Joey Snyder III,23.86,304,1274,+0.013
150,0,24290,D.J. Brigman,23.83,204,856,+0.118
151,0,10885,Robert Allenby,23.79,240,1009,+0.083
152,0,22913,John Rollins,23.59,271,1149,+0.048
153,0,22046,Geoff Ogilvy,23.55,244,1036,+0.033
154,0,06034,Marco Dawson,23.53,256,1088,+0.004
155,0,23353,J.J. Henry,23.50,282,1200,+0.025
156,0,21961,Charles Howell III,23.41,235,1004,-0.085
157,0,01945,Kenny Perry,23.35,195,835,-0.072
158,0,23788,D.J. Trahan,23.32,229,982,+0.017
159,0,12510,Chad Campbell,23.24,244,1050,+0.082
