RANK,MOVEMENT,PLAYER_ID,PLAYER,LOW RND
1,0,25345,Carl Pettersson,61
2,0,20498,Briny Baird,62
2,0,21731,Freddie Jacobson,62
2,0,02239,Scott Verplank,62
2,0,23349,Charles Warren,62
6,0,07867,Woody Austin,63
6,0,08931,Glen Day,63
6,0,06621,Joe Durant,63
6,0,01306,David Edwards,63
6,0,01724,Jeff Maggert,63
6,0,24781,Hunter Mahan,63
6,0,01766,Billy Mayfair,63
6,0,26596,Ryan Moore,63
6,0,25240,D.A. Points,63
6,0,12454,Mario Tiziani,63
16,0,12652,Cameron Beckman,64
16,0,08123,Jeff Brehaut,64
16,0,01127,Danny Briggs,64
16,0,23135,Tim Clark,64
16,0,01261,Jay Delsing,64
16,0,01329,Brad Faxon,64
16,0,20121,Todd Fischer,64
16,0,01381,Fred Funk,64
16,0,24980,Scott Gutschewski,64
16,0,21350,Ryuji Imada,64
16,0,10733,Kent Jones,64
16,0,08075,Jerry Kelly,64
16,0,10860,Justin Leonard,64
16,0,12662,Thomas Levet,64
16,0,01685,J.L. Lewis,64
16,0,20634,Peter Lonard,64
16,0,08635,Colin Montgomerie,64
16,0,21949,Joe Ogilvie,64
16,0,24138,Ian Poulter,64
16,0,02104,Jeff Sluman,64
16,0,26679,Kevin Stadler,64
16,0,23788,D.J. Trahan,64
16,0,02214,Kirk Triplett,64
16,0,08385,Omar Uresti,64
16,0,27095,Nick Watney,64
41,0,21633,Steve Allan,65
41,0,10885,Robert Allenby,65
41,0,01035,Tommy Armour III,65
41,0,21407,Arjun Atwal,65
41,0,07223,Brian Bateman,65
41,0,23614,Rich Beem,65
41,0,24507,Jason Bohn,65
41,0,01132,Mark Brooks,65
41,0,01139,Olin Browne,65
41,0,24925,Jonathan Byrd,65
41,0,01161,Mark Calcavecchia,65
41,0,01175,Jim Carter,65
41,0,19825,Darren Clarke,65
41,0,20623,Gavin Coles,65
41,0,22621,Ben Curtis,65
41,0,19881,Robert Damron,65
41,0,21753,Brian Davis,65
41,0,06251,Chris DiMarco,65
41,0,06522,Ernie Els,65
41,0,10809,Jim Furyk,65
41,0,22892,Jason Gore,65
41,0,06643,Paul Goydos,65
41,0,10117,Bob Heintz,65
41,0,20433,Mark Hensby,65
41,0,21961,Charles Howell III,65
41,0,06573,Brandt Jobe,65
41,0,26420,Richard Johnson,65
41,0,24024,Zach Johnson,65
41,0,23725,Brendan Jones,65
41,0,23552,Hank Kuehne,65
41,0,06332,Neal Lancaster,65
41,0,06016,Brad Lardon,65
41,0,20382,Stephen Leaney,65
41,0,01677,Tom Lehman,65
41,0,01706,Davis Love III,65
41,0,24912,Will MacKenzie,65
41,0,06515,Shaun Micheel,65
41,0,26950,John Morgan,65
41,0,25396,Kevin Na,65
41,0,24140,Sean O'Hair,65
41,0,22046,Geoff Ogilvy,65
41,0,21959,Ted Purdy,65
41,0,22405,Justin Rose,65
41,0,23621,Rory Sabbatini,65
41,0,22548,Patrick Sheehan,65
41,0,02101,Joey Sindelar,65
41,0,02106,Chris Smith,65
41,0,22295,Darron Stiles,65
