RANK,MOVEMENT,PLAYER_ID,PLAYER,MONEY
1,0,08793,Tiger Woods,$65712324
2,0,06567,Vijay Singh,$49379841
3,0,01810,Phil Mickelson,$39514038
4,0,01706,Davis Love III,$34613823
5,0,10809,Jim Furyk,$31200066
6,0,06522,Ernie Els,$28420395
7,0,02206,David Toms,$25816115
8,0,10860,Justin Leonard,$21086669
9,0,01968,Nick Price,$20551208
10,0,01945,Kenny Perry,$20335031
11,0,01381,Fred Funk,$19429189
12,0,01161,Mark Calcavecchia,$19303087
13,0,01226,Fred Couples,$19129114
14,0,20098,Stuart Appleby,$18906470
15,0,10423,Mike Weir,$18853935
16,0,01677,Tom Lehman,$18821038
17,0,06251,Chris DiMarco,$18709850
18,0,20229,Stewart Cink,$18593548
19,0,01527,Scott Hoch,$18487114
20,0,02239,Scott Verplank,$17956383
21,0,02104,Jeff Sluman,$17841673
22,0,01329,Brad Faxon,$17571909
23,0,20157,Retief Goosen,$17231017
24,0,09011,David Duval,$16682256
25,0,21209,Sergio Garcia,$15819592
26,0,01320,Bob Estes,$15518055
27,0,02170,Hal Sutton,$15267685
28,0,02010,Loren Roberts,$15090850
29,0,02223,Bob Tway,$14489049
30,0,01724,Jeff Maggert,$14455224
31,0,01457,Jay Haas,$14440317
32,0,08075,Jerry Kelly,$14417685
33,0,01042,Paul Azinger,$14230551
34,0,01553,John Huston,$14094975
35,0,01766,Billy Mayfair,$14088197
36,0,01887,Mark O'Meara,$14082183
37,0,01876,Greg Norman,$13963611
38,0,12782,Tim Herron,$13569182
39,0,10885,Robert Allenby,$13455147
40,0,12660,Jesper Parnevik,$13438150
41,0,02214,Kirk Triplett,$13215254
42,0,01928,Corey Pavin,$13183622
43,0,01577,Lee Janzen,$13048403
44,0,24502,Adam Scott,$12977216
45,0,07457,Steve Flesch,$12773344
46,0,01707,Steve Lowery,$12616606
47,0,12510,Chad Campbell,$12479591
48,0,21961,Charles Howell III,$12386786
49,0,01219,John Cook,$12313843
50,0,12680,Shigeki Maruyama,$12241561
51,0,01797,Rocco Mediate,$12203971
52,0,01313,Steve Elkington,$11927717
53,0,02146,Payne Stewart,$11737008
54,0,01024,Billy Andrade,$11618464
55,0,24357,K.J. Choi,$11530338
56,0,23621,Rory Sabbatini,$11506946
57,0,02246,Duffy Waldorf,$11271906
58,0,06004,Stephen Ames,$11201944
59,0,01633,Tom Kite,$11041042
60,0,06373,José María Olazábal,$10963145
61,0,02101,Joey Sindelar,$10851395
62,0,01941,Tom Pernice Jr.,$10602694
63,0,22046,Geoff Ogilvy,$10483323
64,0,06621,Joe Durant,$10428026
65,0,20094,Jonathan Kaye,$10166329
66,0,11032,Frank Lickliter II,$10146618
67,0,06527,Steve Stricker,$10042503
68,0,02133,Craig Stadler,$10003337
69,0,02256,Tom Watson,$9939949
70,0,06575,Dudley Hart,$9890031
71,0,10585,Scott McCarron,$9600092
72,0,23983,Luke Donald,$9178310
73,0,01378,David Frost,$9155221
74,0,06595,Kevin Sutherland,$9151954
75,0,01132,Mark Brooks,$8868883
76,0,01666,Bernhard Langer,$8811068
77,0,01249,John Daly,$8804750
78,0,12823,Carlos Franco,$8761085
79,0,01723,Andrew Magee,$8500515
80,0,20127,Chris Riley,$8494630
81,0,01920,Craig Parry,$8395145
82,0,01361,Dan Forsman,$8333355
83,0,07867,Woody Austin,$8315510
84,0,20766,Padraig Harrington,$8315040
85,0,01139,Olin Browne,$8026941
86,0,01926,Steve Pate,$8018208
87,0,20572,Rod Pampling,$7875566
88,0,01569,Peter Jacobsen,$7799810
89,0,02159,Curtis Strange,$7599951
90,0,01388,Robert Gamez,$7580573
91,0,01823,Larry Mize,$7528673
92,0,01619,Skip Kendall,$7508316
93,0,08931,Glen Day,$7504674
94,0,07749,Brett Quigley,$7454046
95,0,01685,J.L. Lewis,$7407520
96,0,23541,Ben Crane,$7323526
