RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL SG:OTT,MEASURED ROUNDS
1,0,21209,Sergio Garcia,1.003,52.170,52
2,0,01945,Kenny Perry,.949,56.964,60
3,0,06567,Vijay Singh,.934,82.183,88
4,0,08793,Tiger Woods,.896,49.272,55
5,0,23322,Brett Wetterich,.737,50.121,68
6,0,23349,Charles Warren,.708,57.377,81
7,0,20396,Lee Westwood,.702,23.171,33
8,0,26758,David Hearn,.564,34.433,61
9,0,06621,Joe Durant,.562,38.756,69
10,0,22913,John Rollins,.551,45.704,83
10,0,23788,D.J. Trahan,.551,39.115,71
12,0,24140,Sean O'Hair,.549,47.218,86
13,0,25900,Lucas Glover,.541,42.771,79
14,0,20378,Mathias Grönberg,.529,29.612,56
15,0,01226,Fred Couples,.499,21.961,44
16,0,01706,Davis Love III,.498,28.376,57
17,0,24024,Zach Johnson,.490,40.658,83
17,0,21951,Joey Snyder III,.490,45.090,92
19,0,21805,Harrison Frazar,.489,45.993,94
20,0,21753,Brian Davis,.488,31.238,64
21,0,24980,Scott Gutschewski,.458,32.982,72
22,0,20691,Greg Owen,.441,31.288,71
22,0,24502,Adam Scott,.441,22.918,52
24,0,01142,Bart Bryant,.440,33.895,77
25,0,21961,Charles Howell III,.429,30.916,72
25,0,06573,Brandt Jobe,.429,35.157,82
27,0,26287,Roland Thatcher,.422,28.714,68
28,0,20098,Stuart Appleby,.410,25.807,63
29,0,01766,Billy Mayfair,.409,41.717,102
30,0,24357,K.J. Choi,.392,21.147,54
31,0,02106,Chris Smith,.376,32.337,86
32,0,20572,Rod Pampling,.353,24.690,70
33,0,21959,Ted Purdy,.352,35.193,100
34,0,01161,Mark Calcavecchia,.348,26.829,77
35,0,10885,Robert Allenby,.345,25.185,73
36,0,22405,Justin Rose,.342,30.465,89
37,0,01810,Phil Mickelson,.341,17.071,50
38,0,20094,Jonathan Kaye,.340,21.771,64
39,0,08075,Jerry Kelly,.336,25.543,76
40,0,10425,Jay Williamson,.319,14.977,47
41,0,23353,J.J. Henry,.316,27.517,87
42,0,10962,Bradley Hughes,.298,14.621,49
43,0,01724,Jeff Maggert,.297,17.823,60
43,0,20645,John Senden,.297,27.060,91
45,0,02101,Joey Sindelar,.290,28.684,99
46,0,20157,Retief Goosen,.281,12.070,43
47,0,01035,Tommy Armour III,.268,24.678,92
48,0,12782,Tim Herron,.249,19.415,78
48,0,24781,Hunter Mahan,.249,23.155,93
50,0,02239,Scott Verplank,.246,16.204,66
51,0,20628,Arron Oberholser,.245,12.491,51
52,0,20850,Daniel Chopra,.227,21.121,93
53,0,01685,J.L. Lewis,.206,16.902,82
54,0,02206,David Toms,.201,12.888,64
55,0,20498,Briny Baird,.200,17.769,89
56,0,01473,Todd Hamilton,.199,14.919,75
57,0,01249,John Daly,.192,10.775,56
58,0,25240,D.A. Points,.191,15.816,83
59,0,24507,Jason Bohn,.189,15.483,82
59,0,22046,Geoff Ogilvy,.189,14.167,75
61,0,24361,Pat Perez,.184,13.582,74
62,0,23621,Rory Sabbatini,.176,10.550,60
62,0,23325,Vaughn Taylor,.176,15.874,90
64,0,01927,Dennis Paulson,.174,9.946,57
65,0,23063,Scott Hend,.173,11.271,65
66,0,01797,Rocco Mediate,.168,11.067,66
67,0,12454,Mario Tiziani,.164,10.027,61
68,0,20634,Peter Lonard,.162,10.677,66
69,0,01941,Tom Pernice Jr.,.157,13.944,89
70,0,23623,Bo Van Pelt,.156,14.516,93
71,0,08725,Tom Gillis,.152,10.495,69
72,0,01313,Steve Elkington,.143,7.886,55
73,0,06034,Marco Dawson,.142,11.178,79
73,0,21350,Ryuji Imada,.142,9.492,67
75,0,01388,Robert Gamez,.140,11.376,81
76,0,06332,Neal Lancaster,.135,11.572,86
77,0,07867,Woody Austin,.126,11.434,91
78,0,22293,Heath Slocum,.119,10.739,90
79,0,24290,D.J. Brigman,.117,7.270,62
80,0,08385,Omar Uresti,.114,8.416,74
81,0,01707,Steve Lowery,.113,9.791,87
82,0,26679,Kevin Stadler,.110,9.139,83
83,0,22295,Darron Stiles,.107,7.513,70
84,0,24925,Jonathan Byrd,.104,9.800,94
85,0,01553,John Huston,.100,7.960,80
86,0,23541,Ben Crane,.097,6.277,65
87,0,10809,Jim Furyk,.096,6.933,72
88,0,23983,Luke Donald,.082,3.275,40
88,0,27095,Nick Watney,.082,6.558,80
90,0,21407,Arjun Atwal,.075,4.552,61
90,0,11032,Frank Lickliter II,.075,6.448,86
92,0,01677,Tom Lehman,.067,3.340,50
93,0,20433,Mark Hensby,.055,2.742,50
94,0,23497,Tag Ridings,.054,4.513,84
95,0,23320,Ryan Palmer,.053,4.294,81
96,0,23135,Tim Clark,.052,3.365,65
96,0,06515,Shaun Micheel,.052,3.298,64
98,0,20548,Hidemichi Tanaka,.051,4.799,95
99,0,08123,Jeff Brehaut,.048,3.020,63
100,0,24138,Ian Poulter,.043,1.544,36
101,0,21949,Joe Ogilvie,.042,3.327,79
