RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL DRIVES FOR 280-300,TOTAL DRVS - OVERALL,RELATIVE TO PAR
1,0,20585,Niclas Fasth,48.21,54,112,-0.07
2,0,06595,Kevin Sutherland,47.40,73,154,-0.22
3,0,02002,John Riegger,46.23,49,106,-0.33
4,0,19825,Darren Clarke,45.83,33,72,+0.09
5,0,20098,Stuart Appleby,45.31,58,128,-0.19
6,0,10912,Craig Perks,44.85,61,136,-0.07
7,0,22621,Ben Curtis,44.05,37,84,-0.38
8,0,20029,Notah Begay III,44.03,59,134,-0.37
9,0,06575,Dudley Hart,43.52,47,108,-0.13
10,0,24925,Jonathan Byrd,43.51,67,154,-0.01
11,0,12510,Chad Campbell,42.77,71,166,-0.11
12,0,02246,Duffy Waldorf,42.54,57,134,-0.14
13,0,23623,Bo Van Pelt,42.39,78,184,E
14,0,08931,Glen Day,42.27,82,194,-0.21
15,0,06527,Steve Stricker,42.11,64,152,+0.06
16,0,20094,Jonathan Kaye,41.91,57,136,-0.30
17,0,07867,Woody Austin,41.67,75,180,-0.08
17,0,24781,Hunter Mahan,41.67,75,180,-0.11
17,0,24361,Pat Perez,41.67,80,192,-0.20
20,0,06621,Joe Durant,41.57,69,166,-0.12
21,0,22405,Justin Rose,41.41,53,128,-0.21
22,0,06613,Tommy Tolles,41.04,55,134,-0.16
23,0,01035,Tommy Armour III,40.96,68,166,-0.07
24,0,06004,Stephen Ames,40.59,69,170,-0.22
25,0,23338,David Gossett,40.35,46,114,-0.15
26,0,01226,Fred Couples,40.22,37,92,-0.05
27,0,25237,Kevin Muncrief,40.00,40,100,+0.13
27,0,21959,Ted Purdy,40.00,88,220,-0.20
29,0,06332,Neal Lancaster,39.81,82,206,-0.05
30,0,12645,Brent Geiberger,39.56,72,182,-0.17
31,0,20157,Retief Goosen,39.53,34,86,-0.29
32,0,01127,Danny Briggs,39.51,64,162,-0.31
33,0,06515,Shaun Micheel,39.33,59,150,-0.20
34,0,10585,Scott McCarron,39.29,66,168,-0.05
35,0,20850,Daniel Chopra,39.22,80,204,-0.26
36,0,22293,Heath Slocum,39.20,69,176,-0.16
37,0,20378,Mathias Grönberg,39.16,65,166,-0.11
38,0,19824,Craig Barlow,39.10,61,156,-0.18
39,0,21893,Brian Kortan,38.71,48,124,+0.06
40,0,21646,David Branshaw,38.41,63,164,-0.22
41,0,20472,Alex Cejka,38.33,46,120,-0.13
42,0,02101,Joey Sindelar,38.30,72,188,-0.04
43,0,21407,Arjun Atwal,38.27,62,162,-0.23
44,0,02104,Jeff Sluman,38.20,68,178,-0.26
45,0,10885,Robert Allenby,38.16,58,152,-0.03
46,0,06522,Ernie Els,38.10,32,84,-0.22
46,0,12660,Jesper Parnevik,38.10,64,168,-0.22
48,0,23541,Ben Crane,38.07,67,176,-0.25
49,0,01527,Scott Hoch,38.04,35,92,-0.26
50,0,20229,Stewart Cink,37.95,63,166,-0.21
50,0,23108,Matt Kuchar,37.95,63,166,-0.10
52,0,01945,Kenny Perry,37.88,50,132,-0.12
53,0,22548,Patrick Sheehan,37.85,81,214,-0.09
54,0,23621,Rory Sabbatini,37.82,59,156,-0.08
55,0,01685,J.L. Lewis,37.76,74,196,-0.24
56,0,12394,Tom Carter,37.74,80,212,-0.11
57,0,10423,Mike Weir,37.70,46,122,-0.11
58,0,01926,Steve Pate,37.68,52,138,-0.17
59,0,02245,Grant Waite,37.66,58,154,-0.17
60,0,11032,Frank Lickliter II,37.35,62,166,-0.15
61,0,20572,Rod Pampling,37.21,64,172,-0.27
62,0,12760,Danny Ellis,37.01,57,154,-0.28
63,0,01766,Billy Mayfair,36.63,74,202,-0.23
64,0,01042,Paul Azinger,36.62,52,142,-0.31
65,0,20634,Peter Lonard,36.61,41,112,-0.24
66,0,01797,Rocco Mediate,36.36,32,88,-0.25
67,0,20663,Brenden Pappas,36.32,77,212,-0.08
68,0,21878,Mark Wilson,36.29,45,124,-0.20
