RANK,MOVEMENT,PLAYER_ID,PLAYER,TOP 10,2ND,3RD
1,0,06567,Vijay Singh,14,2,4
2,0,01810,Phil Mickelson,13,2,4,4
3,0,01706,Davis Love III,12,1,3
4,0,06251,Chris DiMarco,10,1,1,2
4,0,01527,Scott Hoch,10,2,1
6,0,06522,Ernie Els,9,1,5
6,0,10860,Justin Leonard,9,1
6,0,02206,David Toms,9,3,1
6,0,08793,Tiger Woods,9,5,1
10,0,01320,Bob Estes,8,2,1,1
10,0,10809,Jim Furyk,8,1,2
10,0,21209,Sergio Garcia,8,2,2
10,0,11032,Frank Lickliter II,8,1,1
10,0,02239,Scott Verplank,8,1,1,1
15,0,09011,David Duval,7,1,2,1
15,0,08075,Jerry Kelly,7,1
15,0,01666,Bernhard Langer,7,1,3
15,0,02104,Jeff Sluman,7,1,1,1
15,0,06595,Kevin Sutherland,7,1
20,0,01024,Billy Andrade,6,1,1
20,0,20229,Stewart Cink,6,2
20,0,06621,Joe Durant,6,2,1
20,0,01329,Brad Faxon,6,1
20,0,07457,Steve Flesch,6
20,0,01707,Steve Lowery,6,1,2
20,0,01945,Kenny Perry,6,1
20,0,01968,Nick Price,6,1
20,0,07749,Brett Quigley,6,1
20,0,10423,Mike Weir,6,1,2,1
30,0,10885,Robert Allenby,5,2
30,0,01161,Mark Calcavecchia,5,1,1,1
30,0,24357,K.J. Choi,5
30,0,19846,Brian Gay,5,1
30,0,06575,Dudley Hart,5,1
30,0,23353,J.J. Henry,5,2
30,0,21961,Charles Howell III,5,1,1
30,0,01677,Tom Lehman,5,2,1
30,0,01766,Billy Mayfair,5,1,1
30,0,01797,Rocco Mediate,5,2
30,0,02106,Chris Smith,5,1
30,0,02214,Kirk Triplett,5,1
30,0,02223,Bob Tway,5,1,1
43,0,20098,Stuart Appleby,4
43,0,01042,Paul Azinger,4,1
43,0,12652,Cameron Beckman,4,1
43,0,07003,David Berganio Jr.,4,1
43,0,01249,John Daly,4
43,0,21805,Harrison Frazar,4
43,0,01381,Fred Funk,4,2
43,0,10201,Matt Gogel,4
43,0,01724,Jeff Maggert,4
43,0,12680,Shigeki Maruyama,4,1
43,0,10585,Scott McCarron,4,1,1
43,0,12660,Jesper Parnevik,4,1
43,0,01941,Tom Pernice Jr.,4,1
43,0,20127,Chris Riley,4,1
43,0,06527,Steve Stricker,4,1
58,0,01139,Olin Browne,3,1
58,0,01307,Joel Edwards,3,1
58,0,01361,Dan Forsman,3
58,0,12645,Brent Geiberger,3
58,0,21806,Paul Gow,3,1
58,0,08537,J.P. Hayes,3,2
58,0,12782,Tim Herron,3,1
58,0,06332,Neal Lancaster,3,1
58,0,01927,Dennis Paulson,3,1,1
58,0,23621,Rory Sabbatini,3,2
58,0,02110,Jerry Smith,3,1
58,0,02170,Hal Sutton,3,1,1
58,0,10425,Jay Williamson,3
58,0,20566,Kaname Yokoo,3
72,0,06004,Stephen Ames,2
72,0,07867,Woody Austin,2
72,0,20498,Briny Baird,2,1
72,0,23614,Rich Beem,2
72,0,01132,Mark Brooks,2,1
72,0,20848,Ángel Cabrera,2
72,0,01185,Brandel Chamblee,2,1,1
72,0,19825,Darren Clarke,2,2
72,0,19972,José Coceres,2,2
72,0,01219,John Cook,2,1
72,0,08931,Glen Day,2
72,0,01313,Steve Elkington,2
72,0,20043,Edward Fryatt,2
72,0,20157,Retief Goosen,2,1
72,0,23338,David Gossett,2,1
72,0,06643,Paul Goydos,2
72,0,01457,Jay Haas,2
72,0,10962,Bradley Hughes,2,1
72,0,10821,Toshi Izawa,2,1
72,0,01577,Lee Janzen,2,1
72,0,19958,Miguel Angel Jiménez,2,1
72,0,08633,Per-Ulrik Johansson,2
72,0,06012,Greg Kraft,2
72,0,23108,Matt Kuchar,2,1,1
72,0,10565,Ian Leggatt,2
72,0,01761,Len Mattiace,2
72,0,06090,Jim McGovern,2
72,0,19817,Michael Muehr,2
72,0,22046,Geoff Ogilvy,2,1,1
72,0,20095,Carl Paulson,2,1
72,0,01938,David Peoples,2,1
72,0,10912,Craig Perks,2,1
72,0,01943,Chris Perry,2
72,0,02010,Loren Roberts,2
72,0,23034,Brent Schwarzrock,2
72,0,02101,Joey Sindelar,2,1
72,0,08375,Paul Stankowski,2,1
72,0,20935,Toru Taniguchi,2,1
72,0,02245,Grant Waite,2,1
72,0,02257,Brian Watts,2
72,0,02279,Mark Wiebe,2
113,0,19824,Craig Barlow,1
113,0,01093,Ronnie Black,1
113,0,01098,Jay Don Blake,1
113,0,06809,Bob Burns,1
113,0,01157,Tom Byrum,1
113,0,12510,Chad Campbell,1,1
113,0,20400,Michael Campbell,1
113,0,20831,Emanuele Canonica,1
113,0,20593,Greg Chalmers,1
113,0,01191,Barry Cheesman,1
113,0,01196,Brian Claar,1
113,0,12388,Michael Clark II,1
113,0,01203,Russ Cochran,1
113,0,19905,Andrew Coltart,1
113,0,19881,Robert Damron,1,1
113,0,01282,Trevor Dodds,1
113,0,12760,Danny Ellis,1
113,0,01323,Brad Fabel,1
113,0,01326,Nick Faldo,1
113,0,20585,Niclas Fasth,1,1
113,0,22051,Ben Ferguson,1
113,0,01378,David Frost,1
113,0,20763,Pierre Fulke,1,1
113,0,20574,Mathew Goggin,1
113,0,10963,Jimmy Green,1
113,0,20766,Padraig Harrington,1
113,0,20433,Mark Hensby,1
113,0,21007,Gabriel Hjertstedt,1
113,0,08545,Glen Hnatiuk,1
113,0,01553,John Huston,1
113,0,24956,Mikko Ilonen,1
113,0,08881,Tripp Isenhour,1
113,0,06315,Pete Jordan,1,1
113,0,20218,Shingo Katayama,1
113,0,20094,Jonathan Kaye,1,1
113,0,01619,Skip Kendall,1
113,0,01633,Tom Kite,1
113,0,12705,Cliff Kresge,1
113,0,08993,Franklin Langham,1
113,0,01685,J.L. Lewis,1
113,0,01771,Blaine McCallister,1
113,0,01796,Mark McNulty,1
113,0,08339,Spike McRoy,1,1
113,0,01823,Larry Mize,1,1
113,0,23800,Bryce Molder,1,1
113,0,08635,Colin Montgomerie,1
113,0,12753,David Morland IV,1
113,0,10457,Frank Nobilo,1
113,0,01876,Greg Norman,1
113,0,22348,Nick O'Hern,1
113,0,01887,Mark O'Meara,1
113,0,01905,Joe Ozaki,1
113,0,01920,Craig Parry,1
113,0,01926,Steve Pate,1
113,0,01928,Corey Pavin,1
113,0,08553,Lee Porter,1
113,0,10213,Dicky Pride,1
113,0,02099,Scott Simpson,1,1
113,0,02133,Craig Stadler,1
113,0,02159,Curtis Strange,1
113,0,06078,Esteban Toledo,1,1
113,0,06613,Tommy Tolles,1
113,0,06431,Jean Van de Velde,1
113,0,02246,Duffy Waldorf,1
113,0,20436,Garrett Willis,1,1
113,0,02300,Ian Woosnam,1,1
