RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,PUTTS MADE
1,0,10809,Jim Furyk,98.57,631,622
2,0,26851,Marc Leishman,98.34,903,888
3,0,32640,Troy Merritt,98.32,894,879
4,0,34099,Harris English,98.12,1011,992
5,0,30927,Brendon Todd,97.97,740,725
6,0,34466,Peter Malnati,97.95,1024,1003
7,0,20645,John Senden,97.84,1110,1086
8,0,40026,Daniel Berger,97.82,1011,989
9,0,27644,Brian Harman,97.80,1275,1247
10,0,28114,Dawie van der Walt,97.77,806,788
11,0,30711,Colt Knost,97.72,1008,985
12,0,24140,Sean O'Hair,97.70,1174,1147
13,0,34262,Jon Curran,97.69,1167,1140
14,0,20157,Retief Goosen,97.65,680,664
15,0,27936,Martin Laird,97.64,1017,993
15,0,34409,David Lingmerth,97.64,846,826
15,0,25572,Graeme McDowell,97.64,636,621
15,0,01810,Phil Mickelson,97.64,806,787
19,0,29478,Kevin Kisner,97.60,1001,977
20,0,33399,Adam Hadwin,97.59,1201,1172
21,0,39975,Michael Kim,97.58,1198,1169
22,0,06522,Ernie Els,97.56,780,761
23,0,32876,Martin Piller,97.53,649,633
24,0,35879,Kelly Kraft,97.49,638,622
25,0,34360,Patrick Reed,97.46,1102,1074
26,0,32448,James Hahn,97.44,1015,989
27,0,23800,Bryce Molder,97.43,933,909
28,0,34261,Scott Langley,97.41,773,753
29,0,31646,Emiliano Grillo,97.39,1036,1009
30,0,34046,Jordan Spieth,97.38,802,781
30,0,02206,David Toms,97.38,763,743
32,0,25834,Daniel Summerhays,97.35,1094,1065
33,0,27895,Jonas Blixt,97.33,936,911
34,0,33410,Andrew Landry,97.32,447,435
35,0,28089,Jason Day,97.31,707,688
35,0,32102,Rickie Fowler,97.31,930,905
37,0,23638,Brendon de Jonge,97.29,924,899
38,0,29720,Andres Gonzales,97.26,912,887
39,0,30926,Chris Kirk,97.24,1052,1023
40,0,25804,Bubba Watson,97.22,756,735
41,0,24507,Jason Bohn,97.18,852,828
41,0,35539,Luke Guthrie,97.18,639,621
41,0,25349,Tim Wilkinson,97.18,710,690
44,0,23325,Vaughn Taylor,97.17,990,962
45,0,25198,Francesco Molinari,97.15,843,819
46,0,20098,Stuart Appleby,97.13,940,913
46,0,29222,Billy Hurley III,97.13,835,811
48,0,33448,Justin Thomas,97.12,1075,1044
49,0,30110,Kyle Stanley,97.11,1143,1110
50,0,29268,Bronson Burgoon,97.10,932,905
50,0,23983,Luke Donald,97.10,861,836
52,0,27436,Graham DeLaet,97.09,859,834
53,0,27466,Spencer Levin,97.07,1196,1161
53,0,34264,Hudson Swafford,97.07,1296,1258
55,0,34265,Will Wilcox,97.03,809,785
56,0,34174,John Huh,97.01,1136,1102
57,0,37273,Derek Ernst,96.99,631,612
58,0,24024,Zach Johnson,96.96,1019,988
58,0,32757,Patton Kizzire,96.96,1054,1022
60,0,24846,Ricky Barnes,96.93,1139,1104
61,0,08075,Jerry Kelly,96.92,878,851
62,0,24461,Thomas Aiken,96.91,680,659
62,0,35545,Blayne Barber,96.91,1035,1003
