RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,10809,Jim Furyk,70.21,99,141
2,0,28089,Jason Day,70.11,61,87
3,0,28237,Rory McIlroy,66.00,66,100
4,0,10860,Justin Leonard,64.77,114,176
5,0,24024,Zach Johnson,63.89,115,180
6,0,08075,Jerry Kelly,63.87,99,155
7,0,30927,Brendon Todd,62.92,151,240
8,0,24502,Adam Scott,62.07,72,116
9,0,34046,Jordan Spieth,62.01,142,229
10,0,23108,Matt Kuchar,61.96,101,163
11,0,01810,Phil Mickelson,61.72,79,128
12,0,25396,Kevin Na,61.62,122,198
13,0,27649,Brandt Snedeker,61.33,111,181
14,0,23638,Brendon de Jonge,61.32,130,212
15,0,32102,Rickie Fowler,61.27,106,173
16,0,21209,Sergio Garcia,61.25,49,80
17,0,22405,Justin Rose,61.02,72,118
18,0,35139,Richard Lee,60.75,113,186
19,0,23623,Bo Van Pelt,60.66,74,122
20,0,28475,Jeff Overton,60.65,94,155
21,0,33122,Russell Knox,60.51,118,195
22,0,30925,Dustin Johnson,60.42,58,96
23,0,12716,Charley Hoffman,60.22,112,186
24,0,06522,Ernie Els,60.00,90,150
24,0,34563,Chesson Hadley,60.00,123,205
26,0,20098,Stuart Appleby,59.89,112,187
27,0,31323,Gary Woodland,59.87,94,157
28,0,19846,Brian Gay,59.34,108,182
29,0,25191,Gonzalo Fernandez-Castaño,59.28,99,167
30,0,24361,Pat Perez,58.80,127,216
31,0,27436,Graham DeLaet,58.65,61,104
32,0,28307,Matt Every,58.64,95,162
33,0,29926,Danny Lee,58.62,102,174
34,0,29222,Billy Hurley III,58.58,99,169
34,0,27963,Chris Stroud,58.58,99,169
36,0,35539,Luke Guthrie,58.46,114,195
37,0,20157,Retief Goosen,58.38,115,197
38,0,25562,Andres Romero,58.33,112,192
39,0,25804,Bubba Watson,58.20,71,122
40,0,24490,George McNeill,58.17,89,153
41,0,23983,Luke Donald,58.16,57,98
42,0,26331,Charl Schwartzel,58.14,75,129
43,0,32839,Hideki Matsuyama,58.02,94,162
44,0,22371,Aaron Baddeley,58.01,105,181
45,0,24138,Ian Poulter,58.00,58,100
46,0,29221,Webb Simpson,57.95,102,176
47,0,10885,Robert Allenby,57.93,84,145
48,0,28259,Sangmoon Bae,57.89,88,152
49,0,20396,Lee Westwood,57.80,63,109
50,0,29425,Andrew Svoboda,57.72,86,149
