RANK,MOVEMENT,PLAYER_ID,PLAYER,%,FAIRWAYS HIT,POSSIBLE FAIRWAYS,RELATIVE TO PAR
1,0,30711,Colt Knost,73.23,725,990,-0.10
2,0,24461,Thomas Aiken,71.36,476,667,-0.13
3,0,31560,Brian Stuard,70.60,593,840,-0.10
4,0,08075,Jerry Kelly,70.23,585,833,-0.12
5,0,40058,Zac Blair,70.15,792,1129,-0.07
6,0,10809,Jim Furyk,69.59,428,615,-0.16
7,0,32200,Roberto Castro,69.27,852,1230,-0.18
8,0,34174,John Huh,68.37,748,1094,-0.11
9,0,02206,David Toms,67.90,512,754,-0.11
10,0,34409,David Lingmerth,67.78,570,841,-0.14
11,0,33122,Russell Knox,67.77,616,909,-0.17
12,0,10213,Dicky Pride,67.72,386,570,-0.08
13,0,26289,Boo Weekley,67.47,668,990,-0.13
14,0,26476,Chez Reavie,67.42,714,1059,-0.15
15,0,33410,Andrew Landry,67.10,310,462,-0.15
15,0,27466,Spencer Levin,67.10,769,1146,-0.17
17,0,24507,Jason Bohn,66.95,551,823,-0.14
18,0,25572,Graeme McDowell,66.83,421,630,-0.13
19,0,26596,Ryan Moore,66.34,601,906,-0.20
20,0,21878,Mark Wilson,66.19,505,763,-0.07
21,0,26758,David Hearn,66.14,754,1140,-0.18
22,0,45526,Abraham Ancer,66.10,351,531,-0.10
23,0,24024,Zach Johnson,66.05,675,1022,-0.19
24,0,20472,Alex Cejka,65.97,471,714,-0.21
25,0,31646,Emiliano Grillo,65.82,674,1024,-0.22
26,0,20572,Rod Pampling,65.70,339,516,-0.09
27,0,31202,William McGirt,65.66,805,1226,-0.18
28,0,29222,Billy Hurley III,65.57,539,822,-0.16
29,0,24357,K.J. Choi,65.48,605,924,-0.17
29,0,29476,Kyle Reifers,65.48,884,1350,-0.18
31,0,29926,Danny Lee,65.35,647,990,-0.17
32,0,12510,Chad Campbell,64.96,723,1113,-0.14
33,0,23108,Matt Kuchar,64.95,695,1070,-0.23
34,0,29478,Kevin Kisner,64.35,657,1021,-0.21
35,0,30110,Kyle Stanley,64.30,706,1098,-0.16
36,0,25900,Lucas Glover,64.27,599,932,-0.19
36,0,25396,Kevin Na,64.27,617,960,-0.18
38,0,34262,Jon Curran,64.16,752,1172,-0.14
39,0,36801,Mark Hubbard,64.06,738,1152,-0.13
40,0,33399,Adam Hadwin,63.99,782,1222,-0.20
41,0,31557,Jim Herman,63.98,634,991,-0.13
42,0,25364,Paul Casey,63.90,508,795,-0.21
43,0,27214,Kevin Streelman,63.88,566,886,-0.12
44,0,23541,Ben Crane,63.79,583,914,-0.09
45,0,29479,Scott Brown,63.70,616,967,-0.12
46,0,33141,Keegan Bradley,63.66,557,875,-0.17
47,0,21209,Sergio Garcia,63.49,273,430,-0.17
48,0,34261,Scott Langley,63.33,468,739,-0.08
49,0,25198,Francesco Molinari,63.26,501,792,-0.15
50,0,30163,Henrik Norlander,62.91,463,736,-0.16
51,0,34098,Russell Henley,62.88,603,959,-0.19
52,0,30926,Chris Kirk,62.79,648,1032,-0.16
53,0,22892,Jason Gore,62.77,521,830,-0.13
54,0,35545,Blayne Barber,62.68,645,1029,-0.17
55,0,27644,Brian Harman,62.37,799,1281,-0.14
56,0,20098,Stuart Appleby,62.34,571,916,-0.17
