RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS,LOW TOTAL PUTTS
1,0,06527,Steve Stricker,27.79,1723,62,22
2,0,23541,Ben Crane,27.96,2069,74,22
3,0,20160,Charlie Wi,28.06,1824,65,22
4,0,22371,Aaron Baddeley,28.09,2303,82,23
5,0,01329,Brad Faxon,28.20,2002,71,22
6,0,25396,Kevin Na,28.29,2433,86,23
7,0,20121,Todd Fischer,28.32,2747,97,23
8,0,21407,Arjun Atwal,28.40,1846,65,23
8,0,01928,Corey Pavin,28.40,2073,73,23
10,0,21949,Joe Ogilvie,28.47,2819,99,23
11,0,19972,José Coceres,28.48,1538,54,22
12,0,10117,Bob Heintz,28.49,1909,67,23
12,0,06373,José María Olazábal,28.49,1510,53,22
12,0,12660,Jesper Parnevik,28.49,2336,82,22
15,0,01761,Len Mattiace,28.51,2395,84,23
16,0,19846,Brian Gay,28.53,2824,99,23
17,0,20623,Gavin Coles,28.54,1998,70,23
18,0,08931,Glen Day,28.56,2228,78,23
18,0,12782,Tim Herron,28.56,2827,99,23
20,0,06251,Chris DiMarco,28.57,2143,75,23
21,0,01941,Tom Pernice Jr.,28.58,3058,107,19
22,0,01042,Paul Azinger,28.59,1887,66,23
22,0,01887,Mark O'Meara,28.59,1887,66,21
24,0,23135,Tim Clark,28.60,2488,87,24
25,0,24227,Justin Bolli,28.62,1803,63,24
26,0,06575,Dudley Hart,28.65,2407,84,23
26,0,20663,Brenden Pappas,28.65,1461,51,23
28,0,08537,J.P. Hayes,28.67,1806,63,24
28,0,20474,Phillip Price,28.67,2093,73,23
30,0,06004,Stephen Ames,28.68,2266,79,22
31,0,01810,Phil Mickelson,28.69,2123,74,23
31,0,23497,Tag Ridings,28.69,2611,91,23
33,0,08793,Tiger Woods,28.70,2124,74,23
34,0,01024,Billy Andrade,28.71,2383,83,21
34,0,24604,Hunter Haas,28.71,2268,79,24
34,0,21350,Ryuji Imada,28.71,2239,78,22
34,0,22548,Patrick Sheehan,28.71,3158,110,20
34,0,02206,David Toms,28.71,2211,77,21
39,0,20850,Daniel Chopra,28.74,2989,104,22
40,0,12680,Shigeki Maruyama,28.76,2818,98,23
41,0,06197,Michael Allen,28.78,2590,90,21
41,0,12602,Dean Wilson,28.78,2475,86,23
43,0,23036,Chris Anderson,28.79,1785,62,22
43,0,02214,Kirk Triplett,28.79,1497,52,25
45,0,02239,Scott Verplank,28.80,2477,86,23
46,0,01320,Bob Estes,28.82,2651,92,24
47,0,25847,Rob Rashell,28.83,1874,65,23
47,0,02010,Loren Roberts,28.83,1528,53,24
49,0,01388,Robert Gamez,28.84,2624,91,22
49,0,10201,Matt Gogel,28.84,2192,76,24
51,0,22046,Geoff Ogilvy,28.85,2683,93,22
51,0,24361,Pat Perez,28.85,2568,89,24
53,0,26420,Richard Johnson,28.86,1443,50,24
54,0,10860,Justin Leonard,28.87,2165,75,20
54,0,22295,Darron Stiles,28.87,2194,76,23
56,0,23552,Hank Kuehne,28.89,2311,80,23
57,0,01132,Mark Brooks,28.90,2081,72,24
57,0,23108,Matt Kuchar,28.90,1734,60,24
57,0,23325,Vaughn Taylor,28.90,2861,99,22
57,0,21878,Mark Wilson,28.90,2023,70,20
61,0,25345,Carl Pettersson,28.92,3037,105,22
61,0,23621,Rory Sabbatini,28.92,2256,78,24
61,0,10423,Mike Weir,28.92,1909,66,23
64,0,01707,Steve Lowery,28.94,2778,96,24
65,0,07749,Brett Quigley,28.95,2663,92,22
66,0,24507,Jason Bohn,28.96,2635,91,23
66,0,10425,Jay Williamson,28.96,1535,53,24
68,0,23409,James Driscoll,28.97,2057,71,23
69,0,20229,Stewart Cink,28.98,2608,90,25
70,0,24357,K.J. Choi,28.99,2116,73,21
70,0,10809,Jim Furyk,28.99,2696,93,23
70,0,21731,Freddie Jacobson,28.99,2058,71,23
73,0,20766,Padraig Harrington,29.00,1392,48,24
73,0,24024,Zach Johnson,29.00,2755,95,22
75,0,12652,Cameron Beckman,29.04,2672,92,24
76,0,06034,Marco Dawson,29.05,2382,82,22
76,0,01553,John Huston,29.05,2498,86,24
78,0,01823,Larry Mize,29.06,1453,50,22
79,0,21806,Paul Gow,29.07,2151,74,22
80,0,20378,Mathias Grönberg,29.09,1687,58,25
