RANK,MOVEMENT,PLAYER_ID,PLAYER,%,SUCCESSES,ATTEMPTS
1,0,06350,Bob May,70.83,34,48
2,0,23983,Luke Donald,66.67,30,45
3,0,06527,Steve Stricker,64.91,37,57
4,0,02110,Jerry Smith,64.49,69,107
5,0,20572,Rod Pampling,63.64,63,99
6,0,02246,Duffy Waldorf,63.56,75,118
7,0,20127,Chris Riley,63.41,78,123
8,0,23621,Rory Sabbatini,63.10,53,84
9,0,01928,Corey Pavin,62.82,49,78
10,0,20766,Padraig Harrington,62.50,20,32
11,0,20593,Greg Chalmers,62.00,62,100
12,0,19846,Brian Gay,61.79,76,123
13,0,20229,Stewart Cink,61.29,57,93
13,0,06575,Dudley Hart,61.29,57,93
15,0,01313,Steve Elkington,61.22,30,49
16,0,21878,Mark Wilson,61.11,44,72
17,0,02104,Jeff Sluman,60.87,70,115
18,0,23325,Vaughn Taylor,59.38,57,96
19,0,20099,Doug Barron,59.18,58,98
20,0,25935,John Engler Jr.,58.89,53,90
21,0,20098,Stuart Appleby,58.62,51,87
22,0,02206,David Toms,58.44,45,77
23,0,01948,Tim Petrovic,58.41,66,113
24,0,08075,Jerry Kelly,58.25,60,103
25,0,01042,Paul Azinger,58.10,61,105
26,0,06197,Michael Allen,57.65,49,85
27,0,20608,David Howell,57.58,19,33
28,0,24357,K.J. Choi,57.14,56,98
28,0,06373,José María Olazábal,57.14,16,28
30,0,12823,Carlos Franco,57.00,57,100
31,0,12510,Chad Campbell,56.98,49,86
32,0,01887,Mark O'Meara,56.72,38,67
33,0,21949,Joe Ogilvie,56.44,57,101
34,0,06567,Vijay Singh,56.25,54,96
35,0,20548,Hidemichi Tanaka,56.18,50,89
36,0,06522,Ernie Els,56.16,41,73
36,0,22046,Geoff Ogilvy,56.16,41,73
38,0,07457,Steve Flesch,56.08,83,148
39,0,21350,Ryuji Imada,56.03,65,116
40,0,20634,Peter Lonard,55.95,47,84
41,0,06251,Chris DiMarco,55.84,43,77
42,0,23718,Nathan Green,55.74,68,122
43,0,28475,Jeff Overton,55.56,50,90
43,0,20645,John Senden,55.56,45,81
43,0,20812,Tjaart van der Walt,55.56,30,54
46,0,10423,Mike Weir,55.42,46,83
47,0,12602,Dean Wilson,55.22,74,134
48,0,24140,Sean O'Hair,55.10,54,98
49,0,10565,Ian Leggatt,55.06,49,89
50,0,24507,Jason Bohn,55.00,66,120
50,0,06595,Kevin Sutherland,55.00,44,80
52,0,23135,Tim Clark,54.93,39,71
53,0,06034,Marco Dawson,54.90,56,102
54,0,21407,Arjun Atwal,54.87,62,113
55,0,24358,Robert Garrigus,54.74,52,95
56,0,22378,Trevor Immelman,54.67,41,75
56,0,20628,Arron Oberholser,54.67,41,75
58,0,21646,David Branshaw,54.37,56,103
59,0,20850,Daniel Chopra,54.26,70,129
60,0,01320,Bob Estes,53.85,42,78
60,0,21731,Freddie Jacobson,53.85,35,65
62,0,01666,Bernhard Langer,53.62,37,69
63,0,08793,Tiger Woods,53.57,15,28
64,0,23497,Tag Ridings,53.54,53,99
65,0,01381,Fred Funk,53.47,54,101
66,0,20691,Greg Owen,53.45,31,58
66,0,07749,Brett Quigley,53.45,62,116
68,0,23788,D.J. Trahan,53.40,55,103
69,0,21805,Harrison Frazar,53.27,57,107
70,0,01132,Mark Brooks,53.13,51,96
71,0,01553,John Huston,52.87,46,87
72,0,11011,Mike Sposa,52.86,37,70
73,0,26360,Bubba Dickerson,52.83,56,106
73,0,01945,Kenny Perry,52.83,28,53
73,0,24502,Adam Scott,52.83,28,53
76,0,20631,David McKenzie,52.81,47,89
77,0,22371,Aaron Baddeley,52.71,68,129
78,0,10860,Justin Leonard,52.63,40,76
79,0,22405,Justin Rose,52.58,51,97
79,0,22293,Heath Slocum,52.58,51,97
81,0,25345,Carl Pettersson,52.54,62,118
82,0,01766,Billy Mayfair,52.53,52,99
83,0,02239,Scott Verplank,52.50,42,80
84,0,19824,Craig Barlow,52.38,33,63
84,0,24138,Ian Poulter,52.38,22,42
86,0,20574,Mathew Goggin,52.24,35,67
87,0,01707,Steve Lowery,52.14,61,117
88,0,08835,Kris Cox,52.00,39,75
89,0,01577,Lee Janzen,51.79,58,112
90,0,25842,Jon Mills,51.76,44,85
91,0,01329,Brad Faxon,51.72,60,116
92,0,12716,Charley Hoffman,51.52,51,99
93,0,23349,Charles Warren,51.35,38,74
94,0,01724,Jeff Maggert,51.32,39,76
95,0,01388,Robert Gamez,51.30,59,115
95,0,24924,Bill Haas,51.30,59,115
97,0,21753,Brian Davis,51.24,62,121
98,0,07867,Woody Austin,51.09,70,137
98,0,22892,Jason Gore,51.09,47,92
100,0,08385,Omar Uresti,51.02,25,49
101,0,27120,Troy Matteson,50.93,55,108
102,0,12680,Shigeki Maruyama,50.91,56,110
103,0,08375,Paul Stankowski,50.72,35,69
103,0,12755,Vance Veazey,50.72,35,69
105,0,12662,Thomas Levet,50.68,37,73
106,0,07223,Brian Bateman,50.00,36,72
106,0,24925,Jonathan Byrd,50.00,36,72
106,0,19881,Robert Damron,50.00,59,118
106,0,20105,Jeff Gove,50.00,39,78
106,0,26420,Richard Johnson,50.00,51,102
106,0,01599,Steve Jones,50.00,47,94
106,0,01619,Skip Kendall,50.00,39,78
106,0,01941,Tom Pernice Jr.,50.00,52,104
106,0,02214,Kirk Triplett,50.00,32,64
106,0,23623,Bo Van Pelt,50.00,56,112
106,0,23322,Brett Wetterich,50.00,39,78
117,0,10733,Kent Jones,49.55,55,111
118,0,23409,James Driscoll,49.53,53,107
119,0,25900,Lucas Glover,49.52,52,105
120,0,06012,Greg Kraft,49.43,43,87
121,0,06573,Brandt Jobe,49.40,41,83
122,0,01685,J.L. Lewis,49.33,37,75
123,0,01024,Billy Andrade,49.30,35,71
124,0,26596,Ryan Moore,49.28,34,69
125,0,21209,Sergio Garcia,49.09,27,55
126,0,27770,Camilo Villegas,48.89,44,90
127,0,21961,Charles Howell III,48.84,42,86
128,0,20382,Stephen Leaney,48.72,38,78
129,0,09011,David Duval,48.48,32,66
129,0,23320,Ryan Palmer,48.48,48,99
131,0,11032,Frank Lickliter II,48.45,47,97
132,0,23541,Ben Crane,48.15,39,81
133,0,27141,J.B. Holmes,48.10,38,79
134,0,21470,Daisuke Maruyama,47.87,45,94
135,0,12660,Jesper Parnevik,47.83,44,92
136,0,21660,Jason Schultz,47.73,42,88
137,0,27095,Nick Watney,47.66,51,107
138,0,12760,Danny Ellis,47.46,28,59
139,0,01139,Olin Browne,47.27,52,110
140,0,06643,Paul Goydos,47.25,43,91
141,0,07013,Wes Short Jr.,47.22,51,108
142,0,01761,Len Mattiace,47.19,42,89
143,0,20157,Retief Goosen,47.06,24,51
144,0,24361,Pat Perez,46.67,28,60
145,0,12645,Brent Geiberger,46.22,55,119
146,0,22621,Ben Curtis,46.15,42,91
146,0,06515,Shaun Micheel,46.15,36,78
148,0,25632,Jimmy Walker,46.05,35,76
149,0,10809,Jim Furyk,46.03,29,63
150,0,24024,Zach Johnson,45.98,40,87
151,0,22946,Henrik Bjornstad,45.83,44,96
152,0,06004,Stephen Ames,45.76,27,59
153,0,12782,Tim Herron,45.68,37,81
154,0,01706,Davis Love III,45.56,41,90
155,0,01823,Larry Mize,45.45,20,44
155,0,28780,Nicholas Thompson,45.45,45,99
157,0,08123,Jeff Brehaut,45.13,51,113
158,0,01219,John Cook,45.00,27,60
159,0,10885,Robert Allenby,44.78,30,67
160,0,10505,Shane Bertsch,44.74,68,152
161,0,24781,Hunter Mahan,44.68,42,94
162,0,01677,Tom Lehman,44.64,25,56
163,0,25804,Bubba Watson,44.55,45,101
164,0,23614,Rich Beem,44.32,39,88
165,0,27943,Matt Hansen,44.23,23,52
166,0,20472,Alex Cejka,44.19,38,86
167,0,06621,Joe Durant,43.64,48,110
168,0,01035,Tommy Armour III,43.53,37,85
169,0,20498,Briny Baird,43.48,30,69
170,0,01226,Fred Couples,43.10,25,58
171,0,01161,Mark Calcavecchia,42.86,42,98
172,0,25240,D.A. Points,42.72,44,103
173,0,23048,Eric Axley,42.27,41,97
174,0,01142,Bart Bryant,42.11,24,57
175,0,02223,Bob Tway,41.86,36,86
176,0,01249,John Daly,41.82,23,55
177,0,23616,Ryan Hietala,41.18,28,68
178,0,20121,Todd Fischer,41.13,51,124
179,0,22548,Patrick Sheehan,41.07,46,112
180,0,20378,Mathias Grönberg,41.00,41,100
181,0,02101,Joey Sindelar,40.70,35,86
182,0,23353,J.J. Henry,40.26,31,77
183,0,23673,Michael Connell,40.00,22,55
184,0,24980,Scott Gutschewski,39.62,21,53
185,0,01473,Todd Hamilton,39.29,33,84
185,0,08537,J.P. Hayes,39.29,22,56
185,0,21959,Ted Purdy,39.29,33,84
188,0,01810,Phil Mickelson,38.64,17,44
188,0,19913,Ron Whittaker,38.64,34,88
190,0,24912,Will MacKenzie,37.65,32,85
191,0,22913,John Rollins,36.56,34,93
192,0,23307,Roger Tambellini,36.23,25,69
193,0,20094,Jonathan Kaye,35.11,33,94
194,0,11123,Chris Couch,32.91,26,79
195,0,02106,Chris Smith,32.81,21,64
196,0,25936,Alex Aragon,31.67,19,60
