RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
1,0,22371,Aaron Baddeley,89.44,1089,974
2,0,12680,Shigeki Maruyama,89.32,768,686
3,0,20229,Stewart Cink,89.23,1142,1019
4,0,22621,Ben Curtis,89.22,1160,1035
5,0,23541,Ben Crane,89.00,1327,1181
6,0,24138,Ian Poulter,88.96,652,580
7,0,23353,J.J. Henry,88.83,1826,1622
8,0,12602,Dean Wilson,88.72,1694,1503
9,0,10809,Jim Furyk,88.69,1371,1216
10,0,06527,Steve Stricker,88.61,1054,934
10,0,06595,Kevin Sutherland,88.61,1589,1408
12,0,22348,Nick O'Hern,88.55,1293,1145
13,0,26668,Marc Turnesa,88.45,1368,1210
14,0,06575,Dudley Hart,88.38,1213,1072
15,0,25720,Chad Collins,88.36,1134,1002
16,0,19846,Brian Gay,88.33,1551,1370
17,0,20850,Daniel Chopra,88.31,1240,1095
18,0,12782,Tim Herron,88.29,1571,1387
19,0,20623,Gavin Coles,88.26,801,707
20,0,23048,Eric Axley,88.25,1762,1555
20,0,01928,Corey Pavin,88.25,1013,894
22,0,02223,Bob Tway,88.22,1036,914
23,0,21731,Freddie Jacobson,88.20,1169,1031
24,0,08845,Scott Sterling,88.18,1379,1216
25,0,12660,Jesper Parnevik,88.15,1359,1198
26,0,29718,Anthony Kim,88.14,1189,1048
27,0,22806,Doug LaBelle II,88.12,943,831
28,0,20382,Stephen Leaney,88.10,832,733
29,0,22913,John Rollins,88.06,1466,1291
29,0,22548,Patrick Sheehan,88.06,1909,1681
31,0,07547,Craig Kanada,88.05,996,877
32,0,10423,Mike Weir,88.03,1220,1074
33,0,08075,Jerry Kelly,88.02,1377,1212
34,0,28089,Jason Day,87.98,1423,1252
35,0,23125,Brad Elder,87.96,997,877
36,0,25190,Jeff Quinney,87.95,1328,1168
37,0,06004,Stephen Ames,87.93,1201,1056
38,0,21949,Joe Ogilvie,87.89,1602,1408
39,0,23157,Richard Johnson,87.85,1235,1085
