RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL PUTTS,TOTAL ROUNDS
1,0,20848,Ángel Cabrera,26.92,323,12
2,0,19846,Brian Gay,27.50,440,16
3,0,25720,Chad Collins,27.55,303,11
4,0,35539,Luke Guthrie,27.61,497,18
4,0,08075,Jerry Kelly,27.61,497,18
6,0,33461,Morgan Hoffmann,27.63,525,19
7,0,27963,Chris Stroud,27.75,555,20
8,0,23800,Bryce Molder,27.77,361,13
9,0,32102,Rickie Fowler,27.78,500,18
10,0,25396,Kevin Na,27.80,556,20
11,0,06522,Ernie Els,27.82,473,17
12,0,30852,Ryo Ishikawa,27.86,390,14
12,0,24140,Sean O'Hair,27.86,390,14
14,0,26300,Matt Jones,27.88,474,17
15,0,21731,Freddie Jacobson,27.90,558,20
16,0,23541,Ben Crane,27.94,447,16
16,0,10860,Justin Leonard,27.94,447,16
18,0,23409,James Driscoll,28.00,308,11
19,0,22371,Aaron Baddeley,28.07,393,14
20,0,27556,Ted Potter Jr.,28.09,309,11
21,0,29478,Kevin Kisner,28.12,478,17
22,0,28237,Rory McIlroy,28.13,450,16
22,0,35541,John Peterson,28.13,225,8
22,0,25562,Andres Romero,28.13,422,15
25,0,23320,Ryan Palmer,28.15,563,20
26,0,27895,Jonas Blixt,28.17,338,12
27,0,25572,Graeme McDowell,28.20,423,15
28,0,23135,Tim Clark,28.21,395,14
28,0,35139,Richard Lee,28.21,395,14
28,0,26331,Charl Schwartzel,28.21,395,14
31,0,34409,David Lingmerth,28.23,367,13
31,0,24663,Y.E. Yang,28.23,367,13
33,0,29740,Brad Fritsch,28.25,226,8
34,0,34046,Jordan Spieth,28.26,650,23
35,0,01810,Phil Mickelson,28.27,424,15
36,0,25349,Tim Wilkinson,28.28,509,18
37,0,25632,Jimmy Walker,28.36,624,22
38,0,31560,Brian Stuard,28.38,454,16
39,0,36689,Brooks Koepka,28.42,341,12
40,0,22621,Ben Curtis,28.43,398,14
41,0,28089,Jason Day,28.45,313,11
41,0,35732,Wes Roach,28.45,313,11
41,0,20396,Lee Westwood,28.45,313,11
41,0,31323,Gary Woodland,28.45,626,22
45,0,34261,Scott Langley,28.47,541,19
46,0,26758,David Hearn,28.48,598,21
47,0,24846,Ricky Barnes,28.50,570,20
47,0,24361,Pat Perez,28.50,513,18
49,0,25834,Daniel Summerhays,28.55,628,22
50,0,20498,Briny Baird,28.56,257,9
50,0,24490,George McNeill,28.56,457,16
50,0,33419,Cameron Tringale,28.56,714,25
53,0,24912,Will MacKenzie,28.57,400,14
54,0,27141,J.B. Holmes,28.58,543,19
54,0,20160,Charlie Wi,28.58,343,12
