RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL EARLY ROUNDS
1,0,10809,Jim Furyk,68.43,1916,28
2,0,08793,Tiger Woods,68.53,1028,15
3,0,06527,Steve Stricker,69.33,1872,27
4,0,24925,Jonathan Byrd,69.44,2222,32
5,0,22405,Justin Rose,69.45,2917,42
6,0,01810,Phil Mickelson,69.47,2084,30
7,0,20628,Arron Oberholser,69.62,2576,37
8,0,20498,Briny Baird,69.78,2233,32
9,0,22378,Trevor Immelman,69.81,2513,36
10,0,20850,Daniel Chopra,69.84,3073,44
11,0,24502,Adam Scott,69.85,1886,27
12,0,25900,Lucas Glover,69.91,3146,45
13,0,19846,Brian Gay,70.02,3711,53
13,0,06567,Vijay Singh,70.02,2941,42
15,0,23983,Luke Donald,70.04,1891,27
16,0,23623,Bo Van Pelt,70.17,3298,47
17,0,07749,Brett Quigley,70.20,3089,44
18,0,12660,Jesper Parnevik,70.23,3090,44
19,0,01941,Tom Pernice Jr.,70.26,3513,50
20,0,24781,Hunter Mahan,70.28,3514,50
21,0,10885,Robert Allenby,70.33,2532,36
22,0,10423,Mike Weir,70.34,2673,38
23,0,12645,Brent Geiberger,70.35,3658,52
24,0,21878,Mark Wilson,70.37,3026,43
25,0,21949,Joe Ogilvie,70.39,3238,46
25,0,20645,John Senden,70.39,3449,49
25,0,06595,Kevin Sutherland,70.39,3449,49
28,0,20229,Stewart Cink,70.41,2887,41
28,0,23322,Brett Wetterich,70.41,2605,37
30,0,21646,David Branshaw,70.42,3662,52
31,0,02206,David Toms,70.44,1902,27
32,0,21470,Daisuke Maruyama,70.46,2889,41
33,0,21805,Harrison Frazar,70.47,3171,45
33,0,12680,Shigeki Maruyama,70.47,3453,49
35,0,12716,Charley Hoffman,70.48,2960,42
36,0,24507,Jason Bohn,70.51,3878,55
37,0,01313,Steve Elkington,70.52,1763,25
37,0,07457,Steve Flesch,70.52,4584,65
39,0,01706,Davis Love III,70.54,2751,39
40,0,20572,Rod Pampling,70.57,2964,42
40,0,02239,Scott Verplank,70.57,2964,42
