RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF ROUNDS
1,0,08793,Tiger Woods,47
2,0,01810,Phil Mickelson,26
3,0,01577,Lee Janzen,18
4,0,01329,Brad Faxon,17
5,0,12645,Brent Geiberger,14
5,0,11032,Frank Lickliter II,14
7,0,08375,Paul Stankowski,13
8,0,10962,Bradley Hughes,11
8,0,06731,Jeff Roth,11
8,0,02223,Bob Tway,11
11,0,01185,Brandel Chamblee,10
11,0,10585,Scott McCarron,10
13,0,01157,Tom Byrum,9
13,0,01249,John Daly,9
13,0,01381,Fred Funk,9
13,0,01418,Bill Glasson,9
13,0,06617,Brian Henninger,9
13,0,12782,Tim Herron,9
13,0,01619,Skip Kendall,9
13,0,06140,Sean Murphy,9
13,0,02246,Duffy Waldorf,9
22,0,24356,Jason Buha,8
22,0,08931,Glen Day,8
22,0,06036,Scott Dunlap,8
22,0,08545,Glen Hnatiuk,8
22,0,06573,Brandt Jobe,8
22,0,01707,Steve Lowery,8
22,0,01823,Larry Mize,8
22,0,12753,David Morland IV,8
22,0,10213,Dicky Pride,8
22,0,06078,Esteban Toledo,8
22,0,02245,Grant Waite,8
33,0,01035,Tommy Armour III,7
33,0,20400,Michael Campbell,7
33,0,01313,Steve Elkington,7
33,0,01361,Dan Forsman,7
33,0,06613,Tommy Tolles,7
38,0,24357,K.J. Choi,6
38,0,01307,Joel Edwards,6
38,0,23125,Brad Elder,6
38,0,20939,Keiichiro Fukabori,6
38,0,10117,Bob Heintz,6
38,0,06350,Bob May,6
38,0,01945,Kenny Perry,6
38,0,02110,Jerry Smith,6
38,0,21878,Mark Wilson,6
47,0,01024,Billy Andrade,5
47,0,01139,Olin Browne,5
47,0,01219,John Cook,5
47,0,10809,Jim Furyk,5
47,0,19846,Brian Gay,5
47,0,20105,Jeff Gove,5
47,0,08075,Jerry Kelly,5
47,0,25115,Michael Kirk,5
47,0,01690,Bruce Lietzke,5
47,0,20095,Carl Paulson,5
47,0,10912,Craig Perks,5
47,0,01996,Mike Reid,5
47,0,02101,Joey Sindelar,5
60,0,07867,Woody Austin,4
60,0,08243,Aaron Bengoechea,4
60,0,01116,Michael Bradley,4
60,0,01127,Danny Briggs,4
60,0,12388,Michael Clark II,4
60,0,19822,Bobby Cochran,4
60,0,01203,Russ Cochran,4
60,0,11653,Paul Curry,4
60,0,01261,Jay Delsing,4
60,0,07763,Doug Dunakey,4
60,0,21805,Harrison Frazar,4
60,0,06064,Jeff Gallagher,4
60,0,01385,Jim Gallagher Jr.,4
60,0,25052,Derek Gillespie,4
60,0,10201,Matt Gogel,4
60,0,21806,Paul Gow,4
60,0,01499,Mark Hayes,4
60,0,01533,P.H. Horgan III,4
60,0,06315,Pete Jordan,4
60,0,20094,Jonathan Kaye,4
60,0,01633,Tom Kite,4
60,0,10881,Brian Kontak,4
60,0,20445,Casey Martin,4
60,0,01761,Len Mattiace,4
60,0,01771,Blaine McCallister,4
60,0,01796,Mark McNulty,4
60,0,10457,Frank Nobilo,4
60,0,21185,Takao Nogami,4
60,0,21593,Keith Nolan,4
60,0,07749,Brett Quigley,4
60,0,06062,Charles Raulerson,4
60,0,20127,Chris Riley,4
60,0,23621,Rory Sabbatini,4
60,0,23034,Brent Schwarzrock,4
60,0,06567,Vijay Singh,4
60,0,02104,Jeff Sluman,4
60,0,11011,Mike Sposa,4
60,0,02133,Craig Stadler,4
60,0,07101,Dave Stockton Jr.,4
60,0,02257,Brian Watts,4
60,0,20396,Lee Westwood,4
60,0,21129,Chris Wollmann,4
102,0,01014,Fulton Allem,3
102,0,25083,Jeremy Anderson,3
102,0,01063,Ben Bates,3
102,0,06621,Joe Durant,3
102,0,01346,Ed Fiori,3
102,0,20043,Edward Fryatt,3
102,0,01408,Kelly Gibson,3
102,0,20574,Mathew Goggin,3
102,0,01549,Mike Hulbert,3
102,0,21949,Joe Ogilvie,3
102,0,01984,Sam Randolph,3
102,0,20385,Dean Robertson,3
102,0,20387,Jarmo Sandelin,3
102,0,02230,Stan Utley,3
102,0,02244,Fred Wadsworth,3
102,0,02256,Tom Watson,3
118,0,20098,Stuart Appleby,2
118,0,06535,John Bermel,2
118,0,01098,Jay Don Blake,2
118,0,01156,Curt Byrum,2
118,0,23656,Jason Caron,2
118,0,01226,Fred Couples,2
118,0,06522,Ernie Els,2
118,0,01320,Bob Estes,2
118,0,20721,Darren Fichardt,2
118,0,01414,Bob Gilder,2
118,0,06088,Steve Gotsche,2
118,0,12626,Joey Gullion,2
118,0,01475,Donnie Hammond,2
118,0,21961,Charles Howell III,2
118,0,10821,Toshi Izawa,2
118,0,19958,Miguel Angel Jiménez,2
118,0,01677,Tom Lehman,2
118,0,24781,Hunter Mahan,2
118,0,01905,Joe Ozaki,2
118,0,21489,Nobuhito Sato,2
118,0,02076,Peter Senior,2
118,0,02206,David Toms,2
118,0,02214,Kirk Triplett,2
118,0,10423,Mike Weir,2
118,0,02322,Richard Zokol,2
