RANK,MOVEMENT,PLAYER_ID,PLAYER,VALUE
1,0,23623,Bo Van Pelt,14
1,0,02239,Scott Verplank,14
3,0,22371,Aaron Baddeley,12
3,0,20378,Mathias Grönberg,12
3,0,12660,Jesper Parnevik,12
3,0,10425,Jay Williamson,12
7,0,01810,Phil Mickelson,11
7,0,27095,Nick Watney,11
7,0,08793,Tiger Woods,11
10,0,10885,Robert Allenby,10
10,0,20382,Stephen Leaney,10
10,0,25190,Jeff Quinney,10
10,0,02206,David Toms,10
14,0,20104,Ken Duke,9
14,0,10809,Jim Furyk,9
14,0,22046,Geoff Ogilvy,9
14,0,20645,John Senden,9
14,0,12714,Chris Tidland,9
19,0,23983,Luke Donald,8
19,0,01381,Fred Funk,8
19,0,01388,Robert Gamez,8
19,0,12716,Charley Hoffman,8
19,0,21731,Freddie Jacobson,8
19,0,06332,Neal Lancaster,8
19,0,01677,Tom Lehman,8
19,0,27060,John Mallinger,8
19,0,24449,Parker McLachlin,8
19,0,01945,Kenny Perry,8
19,0,22293,Heath Slocum,8
19,0,25804,Bubba Watson,8
19,0,10423,Mike Weir,8
32,0,23614,Rich Beem,7
32,0,07363,Craig Bowden,7
32,0,21646,David Branshaw,7
32,0,23135,Tim Clark,7
32,0,21209,Sergio Garcia,7
32,0,24924,Bill Haas,7
32,0,10860,Justin Leonard,7
32,0,01766,Billy Mayfair,7
32,0,24490,George McNeill,7
32,0,06515,Shaun Micheel,7
32,0,24140,Sean O'Hair,7
32,0,20628,Arron Oberholser,7
32,0,01948,Tim Petrovic,7
32,0,10213,Dicky Pride,7
32,0,22913,John Rollins,7
32,0,23621,Rory Sabbatini,7
32,0,26882,Michael Sim,7
32,0,06567,Vijay Singh,7
32,0,26679,Kevin Stadler,7
32,0,06527,Steve Stricker,7
32,0,23325,Vaughn Taylor,7
32,0,23788,D.J. Trahan,7
32,0,20160,Charlie Wi,7
55,0,21633,Steve Allan,6
55,0,01024,Billy Andrade,6
55,0,19803,Ryan Armour,6
55,0,01035,Tommy Armour III,6
55,0,23048,Eric Axley,6
55,0,20498,Briny Baird,6
55,0,12652,Cameron Beckman,6
55,0,01142,Bart Bryant,6
55,0,24925,Jonathan Byrd,6
55,0,01157,Tom Byrum,6
55,0,24357,K.J. Choi,6
55,0,20850,Daniel Chopra,6
55,0,20229,Stewart Cink,6
55,0,21753,Brian Davis,6
55,0,01313,Steve Elkington,6
55,0,24358,Robert Garrigus,6
55,0,19846,Brian Gay,6
55,0,20574,Mathew Goggin,6
55,0,20433,Mark Hensby,6
55,0,21961,Charles Howell III,6
55,0,21350,Ryuji Imada,6
55,0,24024,Zach Johnson,6
55,0,10733,Kent Jones,6
55,0,12705,Cliff Kresge,6
55,0,01706,Davis Love III,6
55,0,24912,Will MacKenzie,6
55,0,28158,Steve Marino,6
55,0,27933,John Merrick,6
55,0,26596,Ryan Moore,6
55,0,25396,Kevin Na,6
55,0,25345,Carl Pettersson,6
55,0,22405,Justin Rose,6
55,0,24502,Adam Scott,6
55,0,02101,Joey Sindelar,6
55,0,27963,Chris Stroud,6
55,0,27770,Camilo Villegas,6
91,0,06197,Michael Allen,5
91,0,06004,Stephen Ames,5
91,0,07867,Woody Austin,5
91,0,24290,D.J. Brigman,5
91,0,12510,Chad Campbell,5
91,0,20472,Alex Cejka,5
91,0,19972,José Coceres,5
91,0,06034,Marco Dawson,5
91,0,08931,Glen Day,5
91,0,06522,Ernie Els,5
91,0,01320,Bob Estes,5
91,0,27561,Nick Flanagan,5
91,0,07457,Steve Flesch,5
91,0,01361,Dan Forsman,5
91,0,21805,Harrison Frazar,5
91,0,12645,Brent Geiberger,5
91,0,22892,Jason Gore,5
91,0,21806,Paul Gow,5
91,0,23718,Nathan Green,5
91,0,24980,Scott Gutschewski,5
91,0,20859,Anders Hansen,5
91,0,20766,Padraig Harrington,5
91,0,08537,J.P. Hayes,5
91,0,10117,Bob Heintz,5
91,0,22378,Trevor Immelman,5
91,0,26420,Richard Johnson,5
91,0,01666,Bernhard Langer,5
91,0,11032,Frank Lickliter II,5
91,0,20634,Peter Lonard,5
91,0,01707,Steve Lowery,5
91,0,26881,Jarrod Lyle,5
91,0,01724,Jeff Maggert,5
91,0,21470,Daisuke Maruyama,5
91,0,12680,Shigeki Maruyama,5
91,0,27120,Troy Matteson,5
91,0,06350,Bob May,5
91,0,21949,Joe Ogilvie,5
91,0,28475,Jeff Overton,5
91,0,20572,Rod Pampling,5
91,0,24361,Pat Perez,5
91,0,01941,Tom Pernice Jr.,5
91,0,21959,Ted Purdy,5
91,0,29476,Kyle Reifers,5
91,0,23497,Tag Ridings,5
91,0,20127,Chris Riley,5
91,0,21660,Jason Schultz,5
91,0,27649,Brandt Snedeker,5
91,0,06595,Kevin Sutherland,5
91,0,24457,Jaco Van Zyl,5
91,0,23349,Charles Warren,5
91,0,23322,Brett Wetterich,5
91,0,12602,Dean Wilson,5
143,0,20098,Stuart Appleby,4
143,0,29416,Andy Bare,4
143,0,07223,Brian Bateman,4
143,0,10505,Shane Bertsch,4
143,0,24507,Jason Bohn,4
143,0,23933,Michael Boyd,4
143,0,08123,Jeff Brehaut,4
143,0,01132,Mark Brooks,4
143,0,25273,Andrew Buckle,4
143,0,20848,Ángel Cabrera,4
143,0,01161,Mark Calcavecchia,4
143,0,26500,Alejandro Cañizares,4
143,0,20623,Gavin Coles,4
143,0,01219,John Cook,4
143,0,01249,John Daly,4
143,0,23638,Brendon de Jonge,4
143,0,01261,Jay Delsing,4
143,0,26360,Bubba Dickerson,4
143,0,06251,Chris DiMarco,4
143,0,25686,Jason Dufner,4
143,0,06621,Joe Durant,4
143,0,12823,Carlos Franco,4
143,0,25900,Lucas Glover,4
143,0,20105,Jeff Gove,4
143,0,06575,Dudley Hart,4
143,0,23353,J.J. Henry,4
143,0,12782,Tim Herron,4
143,0,27141,J.B. Holmes,4
143,0,08881,Tripp Isenhour,4
143,0,01577,Lee Janzen,4
143,0,07547,Craig Kanada,4
143,0,08075,Jerry Kelly,4
143,0,29718,Anthony Kim,4
143,0,06012,Greg Kraft,4
143,0,23108,Matt Kuchar,4
143,0,22806,Doug LaBelle II,4
143,0,24781,Hunter Mahan,4
143,0,23800,Bryce Molder,4
143,0,22348,Nick O'Hern,4
143,0,06373,José María Olazábal,4
143,0,20691,Greg Owen,4
143,0,23320,Ryan Palmer,4
143,0,01928,Corey Pavin,4
143,0,24138,Ian Poulter,4
143,0,07749,Brett Quigley,4
143,0,02104,Jeff Sluman,4
143,0,08375,Paul Stankowski,4
143,0,21528,Henrik Stenson,4
143,0,12663,Phil Tataurangi,4
143,0,02223,Bob Tway,4
143,0,26951,Johnson Wagner,4
143,0,02245,Grant Waite,4
143,0,02246,Duffy Waldorf,4
143,0,26289,Boo Weekley,4
143,0,25892,Steve Wheatcroft,4
143,0,21878,Mark Wilson,4
199,0,21407,Arjun Atwal,3
