YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,FREQUENCY,# OF HOLES,# OF EAGLES
2013,1,0,30925,Dustin Johnson,105.0,1260,12
2013,2,0,30926,Chris Kirk,106.8,1602,15
2013,3,0,30944,Jason Kokrak,108.0,1404,13
2013,4,0,34046,Jordan Spieth,113.5,1476,13
2013,5,0,23452,Nicolas Colsaerts,120.9,846,7
2013,5,0,6527,Steve Stricker,120.9,846,7
2013,7,0,24490,George McNeill,122.4,1224,10
2013,8,0,21209,Sergio Garcia,126.0,1134,9
2013,9,0,30110,Kyle Stanley,127.8,1278,10
2013,10,0,21528,Henrik Stenson,128.0,1152,9
2013,11,0,26679,Kevin Stadler,129.3,1422,11
2013,12,0,24358,Robert Garrigus,130.0,1170,9
2013,13,0,22371,Aaron Baddeley,132.0,1188,9
2013,14,0,32448,James Hahn,133.2,1332,10
2013,15,0,8793,Tiger Woods,135.0,1080,8
2013,16,0,34360,Patrick Reed,135.8,1494,11
2013,17,0,27129,Luke List,137.3,1098,8
2013,18,0,12716,Charley Hoffman,137.5,1512,11
2013,19,0,6522,Ernie Els,139.5,1116,8
2013,20,0,22806,Doug LaBelle II,140.0,1260,9
2013,21,0,28237,Rory McIlroy,141.4,990,7
2013,22,0,27933,John Merrick,142.2,1422,10
2013,23,0,33141,Keegan Bradley,142.4,1566,11
2013,24,0,31323,Gary Woodland,147.3,1620,11
2013,25,0,32102,Rickie Fowler,148.0,1332,9
2013,26,0,32150,Michael Thompson,148.5,1188,8
2013,27,0,27770,Camilo Villegas,150.0,1350,9
2013,28,0,24399,Scott Gardiner,151.7,1062,7
2013,29,0,12510,Chad Campbell,152.0,1368,9
2013,30,0,29740,Brad Fritsch,154.0,1386,9
2013,31,0,29425,Andrew Svoboda,158.4,792,5
2013,31,0,2206,David Toms,158.4,792,5
2013,33,0,36884,Ben Kohles,159.8,1278,8
2013,34,0,28307,Matt Every,160.2,1602,10
2013,35,0,26289,Boo Weekley,163.6,1800,11
2013,36,0,20593,Greg Chalmers,164.3,1314,8
2013,37,0,31557,Jim Herman,165.0,990,6
