YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,# OF PUTTS,# OF HOLES
2013,1,0,1810,Phil Mickelson,1.718,1608.0,936.0,34.97,,
2013,2,0,26758,David Hearn,1.724,1767.0,1025.0,31.05,,
2013,3,0,22371,Aaron Baddeley,1.727,1190.0,689.0,32.99,,
2013,4,0,20593,Greg Chalmers,1.731,1402.0,810.0,31.3,,
2013,4,0,23800,Bryce Molder,1.731,1587.0,917.0,31.26,,
2013,4,0,6527,Steve Stricker,1.731,1042.0,602.0,31.77,,
2013,7,0,30926,Chris Kirk,1.733,1830.0,1056.0,32.35,,
2013,7,0,20160,Charlie Wi,1.733,1341.0,774.0,32.43,,
2013,9,0,27649,Brandt Snedeker,1.734,1620.0,934.0,32.8,,
2013,9,0,34046,Jordan Spieth,1.734,1713.0,988.0,32.01,,
2013,11,0,10860,Justin Leonard,1.735,1695.0,977.0,30.15,,
2013,12,0,23320,Ryan Palmer,1.737,1636.0,942.0,32.55,,
2013,12,0,8793,Tiger Woods,1.737,1268.0,730.0,33.33,,
2013,14,0,24507,Jason Bohn,1.738,1411.0,812.0,30.91,,
2013,15,0,21753,Brian Davis,1.739,1770.0,1018.0,31.26,,
2013,16,0,12716,Charley Hoffman,1.741,1724.0,990.0,32.59,,
2013,17,0,28259,Sangmoon Bae,1.742,1658.0,952.0,32.84,,
2013,17,0,19846,Brian Gay,1.742,1404.0,806.0,30.06,,
2013,19,0,28237,Rory McIlroy,1.744,1130.0,648.0,33.13,,
2013,20,0,29420,Billy Horschel,1.745,2035.0,1166.0,31.85,,
2013,21,0,23409,James Driscoll,1.746,1444.0,827.0,30.75,,
2013,21,0,33461,Morgan Hoffmann,1.746,1301.0,745.0,32.12,,
2013,21,0,26331,Charl Schwartzel,1.746,1407.0,806.0,33.17,,
2013,21,0,10423,Mike Weir,1.746,1037.0,594.0,30.98,,
2013,25,0,23983,Luke Donald,1.747,1134.0,649.0,30.76,,
2013,26,0,34099,Harris English,1.749,1975.0,1129.0,31.94,,
2013,26,0,32448,James Hahn,1.749,1508.0,862.0,30.34,,
2013,28,0,21209,Sergio Garcia,1.75,1339.0,765.0,29.62,,
2013,28,0,23108,Matt Kuchar,1.75,1804.0,1031.0,30.65,,
2013,30,0,22806,Doug LaBelle II,1.751,1420.0,811.0,29.33,,
2013,31,0,32102,Rickie Fowler,1.752,1484.0,847.0,30.5,,
2013,32,0,28307,Matt Every,1.754,1842.0,1050.0,32.06,,
2013,33,0,28475,Jeff Overton,1.755,1599.0,911.0,30.19,,
2013,34,0,21961,Charles Howell III,1.756,1793.0,1021.0,30.32,,
2013,35,0,25834,Daniel Summerhays,1.757,1692.0,963.0,30.9,,
2013,36,0,24358,Robert Garrigus,1.758,1361.0,774.0,31.0,,
2013,36,0,25632,Jimmy Walker,1.758,1756.0,999.0,31.39,,
2013,38,0,28089,Jason Day,1.759,1645.0,935.0,30.65,,
2013,38,0,29221,Webb Simpson,1.759,1858.0,1056.0,30.58,,
2013,40,0,21731,Freddie Jacobson,1.76,1172.0,666.0,29.58,,
2013,40,0,34360,Patrick Reed,1.76,1677.0,953.0,31.05,,
2013,40,0,25562,Andres Romero,1.76,1146.0,651.0,32.26,,
2013,43,0,27963,Chris Stroud,1.761,1794.0,1019.0,29.5,,
2013,44,0,34098,Russell Henley,1.762,1589.0,902.0,31.11,,
2013,44,0,26679,Kevin Stadler,1.762,1727.0,980.0,30.49,,
2013,46,0,31323,Gary Woodland,1.763,1913.0,1085.0,30.74,,
2013,47,0,6004,Stephen Ames,1.764,951.0,539.0,29.74,,
2013,47,0,27770,Camilo Villegas,1.764,1589.0,901.0,30.21,,
2013,49,0,22792,Peter Hanson,1.766,837.0,474.0,30.23,,
2013,49,0,28092,D.H. Lee,1.766,1363.0,772.0,28.74,,
2013,49,0,25345,Carl Pettersson,1.766,1582.0,896.0,28.67,,
2013,52,0,10809,Jim Furyk,1.767,1695.0,959.0,27.69,,
2013,52,0,27644,Brian Harman,1.767,1693.0,958.0,28.14,,
2013,54,0,1320,Bob Estes,1.768,1363.0,771.0,27.5,,
2013,54,0,28679,Fabián Gómez,1.768,1326.0,750.0,29.81,,
2013,54,0,23621,Rory Sabbatini,1.768,1768.0,1000.0,32.5,,
2013,54,0,23325,Vaughn Taylor,1.768,930.0,526.0,32.13,,
2013,58,0,6522,Ernie Els,1.769,1219.0,689.0,28.4,,
2013,58,0,28135,Aaron Watkins,1.769,872.0,493.0,29.21,,
2013,60,0,33141,Keegan Bradley,1.771,1845.0,1042.0,30.7,,
2013,60,0,26300,Matt Jones,1.771,1746.0,986.0,30.08,,
2013,62,0,25818,Scott Piercy,1.772,1490.0,841.0,31.03,,
2013,62,0,2206,David Toms,1.772,893.0,504.0,28.14,,
2013,64,0,23638,Brendon de Jonge,1.773,2416.0,1363.0,28.33,,
2013,64,0,20104,Ken Duke,1.773,1752.0,988.0,27.72,,
2013,64,0,8075,Jerry Kelly,1.773,1566.0,883.0,27.27,,
2013,64,0,30944,Jason Kokrak,1.773,1635.0,922.0,30.02,,
2013,64,0,34409,David Lingmerth,1.773,1372.0,774.0,30.92,,
2013,64,0,24361,Pat Perez,1.773,1495.0,843.0,29.37,,
2013,64,0,22913,John Rollins,1.773,1571.0,886.0,28.54,,
2013,71,0,32200,Roberto Castro,1.774,2085.0,1175.0,29.28,,
2013,72,0,25240,D.A. Points,1.775,1745.0,983.0,29.77,,
