YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL ROUNDS
2013,1,0,8793,Tiger Woods,33.67,505,15
2013,2,0,22056,Cameron Percy,33.95,645,19
2013,3,0,30926,Chris Kirk,34.0,816,24
2013,4,0,21209,Sergio Garcia,34.19,547,16
2013,5,0,6527,Steve Stricker,34.25,411,12
2013,6,0,21961,Charles Howell III,34.42,826,24
2013,7,0,24494,Erik Compton,34.43,792,23
2013,7,0,25686,Jason Dufner,34.43,723,21
2013,7,0,10809,Jim Furyk,34.43,723,21
2013,10,0,33141,Keegan Bradley,34.46,827,24
2013,11,0,34046,Jordan Spieth,34.48,793,23
2013,12,0,22405,Justin Rose,34.5,552,16
2013,13,0,22806,Doug LaBelle II,34.57,726,21
2013,14,0,20098,Stuart Appleby,34.67,832,24
2013,14,0,31202,William McGirt,34.67,832,24
2013,16,0,24490,George McNeill,34.68,659,19
2013,17,0,24924,Bill Haas,34.71,833,24
2013,18,0,1320,Bob Estes,34.72,625,18
2013,19,0,28679,Fabián Gómez,34.73,764,22
2013,20,0,22621,Ben Curtis,34.74,660,19
2013,21,0,32448,James Hahn,34.76,869,25
2013,21,0,21528,Henrik Stenson,34.76,591,17
2013,23,0,25444,Justin Hicks,34.77,765,22
2013,24,0,23800,Bryce Molder,34.78,800,23
2013,25,0,24361,Pat Perez,34.8,696,20
2013,26,0,26758,David Hearn,34.81,905,26
2013,27,0,26289,Boo Weekley,34.85,941,27
2013,28,0,35139,Richard Lee,34.86,767,22
2013,29,0,23638,Brendon de Jonge,34.87,1046,30
2013,29,0,27330,Josh Teater,34.87,802,23
2013,31,0,25274,Steven Bowditch,34.9,733,21
2013,32,0,23108,Matt Kuchar,34.91,768,22
2013,33,0,26679,Kevin Stadler,34.92,838,24
2013,34,0,23541,Ben Crane,34.95,664,19
2013,35,0,23353,J.J. Henry,34.96,874,25
2013,35,0,27963,Chris Stroud,34.96,874,25
2013,35,0,33419,Cameron Tringale,34.96,839,24
2013,38,0,24357,K.J. Choi,35.0,805,23
2013,38,0,21753,Brian Davis,35.0,945,27
2013,38,0,26331,Charl Schwartzel,35.0,630,18
2013,38,0,25834,Daniel Summerhays,35.0,910,26
2013,42,0,32200,Roberto Castro,35.03,1016,29
2013,43,0,27436,Graham DeLaet,35.04,911,26
2013,43,0,31323,Gary Woodland,35.04,841,24
2013,45,0,25804,Bubba Watson,35.05,701,20
2013,46,0,28500,Martin Flores,35.08,877,25
2013,47,0,8725,Tom Gillis,35.1,737,21
2013,48,0,29740,Brad Fritsch,35.13,808,23
2013,49,0,25345,Carl Pettersson,35.14,773,22
2013,49,0,10213,Dicky Pride,35.14,773,22
2013,49,0,10423,Mike Weir,35.14,738,21
2013,52,0,28092,D.H. Lee,35.15,703,20
2013,52,0,34360,Patrick Reed,35.15,914,26
2013,54,0,12716,Charley Hoffman,35.17,809,23
2013,54,0,24024,Zach Johnson,35.17,809,23
2013,54,0,30944,Jason Kokrak,35.17,844,24
2013,57,0,8075,Jerry Kelly,35.18,774,22
2013,58,0,32102,Rickie Fowler,35.19,739,21
2013,58,0,30163,Henrik Norlander,35.19,739,21
2013,60,0,25562,Andres Romero,35.2,704,20
2013,61,0,6004,Stephen Ames,35.22,634,18
2013,62,0,34099,Harris English,35.23,916,26
2013,63,0,21099,David Lynn,35.24,740,21
2013,64,0,29420,Billy Horschel,35.27,917,26
2013,65,0,29221,Webb Simpson,35.29,847,24
2013,66,0,24358,Robert Garrigus,35.3,706,20
2013,66,0,19846,Brian Gay,35.3,812,23
2013,66,0,27503,Steve LeBrun,35.3,706,20
2013,69,0,30925,Dustin Johnson,35.32,671,19
2013,70,0,31557,Jim Herman,35.33,636,18
2013,70,0,25572,Graeme McDowell,35.33,530,15
2013,70,0,27556,Ted Potter Jr.,35.33,742,21
2013,70,0,25632,Jimmy Walker,35.33,848,24
2013,74,0,22378,Trevor Immelman,35.35,813,23
2013,74,0,19970,Robert Karlsson,35.35,601,17
2013,76,0,28259,Sangmoon Bae,35.36,884,25
2013,76,0,24399,Scott Gardiner,35.36,778,22
2013,76,0,25240,D.A. Points,35.36,990,28
2013,79,0,1810,Phil Mickelson,35.38,743,21
2013,79,0,30110,Kyle Stanley,35.38,849,24
2013,81,0,34174,John Huh,35.39,991,28
2013,81,0,22913,John Rollins,35.39,814,23
2013,83,0,24138,Ian Poulter,35.4,531,15
2013,83,0,24502,Adam Scott,35.4,531,15
2013,83,0,23788,D.J. Trahan,35.4,531,15
2013,86,0,23409,James Driscoll,35.41,779,22
2013,86,0,28475,Jeff Overton,35.41,779,22
2013,88,0,12510,Chad Campbell,35.42,850,24
2013,88,0,23135,Tim Clark,35.42,673,19
2013,88,0,26300,Matt Jones,35.42,850,24
2013,88,0,24781,Hunter Mahan,35.42,850,24
2013,88,0,20645,John Senden,35.42,850,24
2013,93,0,22371,Aaron Baddeley,35.43,815,23
2013,94,0,23983,Luke Donald,35.44,567,16
