RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,06527,Steve Stricker,-.095
2,0,01226,Fred Couples,-.085
3,0,08793,Tiger Woods,-.067
4,0,27214,Kevin Streelman,-.047
5,0,23108,Matt Kuchar,-.036
6,0,21961,Charles Howell III,-.015
7,0,27095,Nick Watney,-.014
8,0,01945,Kenny Perry,-.008
9,0,10885,Robert Allenby,E
9,0,22621,Ben Curtis,E
9,0,22046,Geoff Ogilvy,E
12,0,28158,Steve Marino,+.007
13,0,25818,Scott Piercy,+.008
14,0,01797,Rocco Mediate,+.009
15,0,24024,Zach Johnson,+.010
16,0,24358,Robert Garrigus,+.019
17,0,26679,Kevin Stadler,+.032
18,0,06567,Vijay Singh,+.033
19,0,23541,Ben Crane,+.034
20,0,06004,Stephen Ames,+.037
21,0,26300,Matt Jones,+.039
22,0,01928,Corey Pavin,+.046
23,0,24449,Parker McLachlin,+.049
24,0,29718,Anthony Kim,+.052
24,0,29221,Webb Simpson,+.052
26,0,24924,Bill Haas,+.053
26,0,30925,Dustin Johnson,+.053
26,0,21949,Joe Ogilvie,+.053
29,0,12716,Charley Hoffman,+.056
30,0,24140,Sean O'Hair,+.057
31,0,12510,Chad Campbell,+.059
32,0,10117,Bob Heintz,+.060
32,0,25632,Jimmy Walker,+.060
34,0,23497,Tag Ridings,+.061
35,0,23718,Nathan Green,+.062
36,0,27120,Troy Matteson,+.063
37,0,20104,Ken Duke,+.065
38,0,12652,Cameron Beckman,+.067
39,0,20848,Ángel Cabrera,+.069
40,0,24502,Adam Scott,+.070
41,0,27649,Brandt Snedeker,+.074
42,0,27770,Camilo Villegas,+.075
43,0,23983,Luke Donald,+.077
44,0,20127,Chris Riley,+.078
45,0,01035,Tommy Armour III,+.080
45,0,01941,Tom Pernice Jr.,+.080
47,0,21731,Freddie Jacobson,+.083
48,0,21805,Harrison Frazar,+.085
48,0,21209,Sergio Garcia,+.085
50,0,10860,Justin Leonard,+.086
50,0,02206,David Toms,+.086
52,0,22892,Jason Gore,+.089
53,0,02214,Kirk Triplett,+.091
54,0,28087,Kris Blanks,+.094
55,0,27466,Spencer Levin,+.095
56,0,08931,Glen Day,+.096
57,0,20593,Greg Chalmers,+.097
58,0,24925,Jonathan Byrd,+.098
58,0,25900,Lucas Glover,+.098
58,0,22405,Justin Rose,+.098
61,0,21753,Brian Davis,+.099
61,0,20691,Greg Owen,+.099
63,0,12705,Cliff Kresge,+.100
64,0,07749,Brett Quigley,+.101
65,0,28089,Jason Day,+.102
65,0,01706,Davis Love III,+.102
67,0,08075,Jerry Kelly,+.103
68,0,24507,Jason Bohn,+.105
68,0,26695,Michael Letzig,+.105
70,0,27936,Martin Laird,+.106
70,0,01677,Tom Lehman,+.106
70,0,24663,Y.E. Yang,+.106
73,0,22371,Aaron Baddeley,+.107
74,0,10423,Mike Weir,+.109
75,0,25562,Andres Romero,+.112
76,0,26881,Jarrod Lyle,+.113
77,0,23325,Vaughn Taylor,+.114
78,0,28475,Jeff Overton,+.115
78,0,01948,Tim Petrovic,+.115
80,0,25804,Bubba Watson,+.117
80,0,20160,Charlie Wi,+.117
82,0,06522,Ernie Els,+.121
82,0,08845,Scott Sterling,+.121
84,0,19846,Brian Gay,+.122
85,0,20098,Stuart Appleby,+.123
86,0,26596,Ryan Moore,+.124
87,0,23621,Rory Sabbatini,+.125
88,0,20157,Retief Goosen,+.126
88,0,20766,Padraig Harrington,+.126
88,0,10585,Scott McCarron,+.126
91,0,24490,George McNeill,+.127
91,0,06539,Rick Price,+.127
93,0,01810,Phil Mickelson,+.128
94,0,07457,Steve Flesch,+.129
94,0,21959,Ted Purdy,+.129
96,0,23800,Bryce Molder,+.130
97,0,24503,Jeff Klauk,+.133
98,0,27141,J.B. Holmes,+.134
99,0,21350,Ryuji Imada,+.137
100,0,07867,Woody Austin,+.144
100,0,26951,Johnson Wagner,+.144
102,0,25396,Kevin Na,+.146
103,0,23548,Bill Lunde,+.147
103,0,27060,John Mallinger,+.147
105,0,26851,Marc Leishman,+.150
106,0,20574,Mathew Goggin,+.155
106,0,23349,Charles Warren,+.155
108,0,24912,Will MacKenzie,+.156
108,0,26289,Boo Weekley,+.156
110,0,23638,Brendon de Jonge,+.157
111,0,06643,Paul Goydos,+.159
111,0,23623,Bo Van Pelt,+.159
113,0,26420,Richard Johnson,+.160
113,0,06595,Kevin Sutherland,+.160
115,0,06251,Chris DiMarco,+.168
115,0,20645,John Senden,+.168
117,0,20498,Briny Baird,+.169
117,0,23353,J.J. Henry,+.169
117,0,22961,David Mathis,+.169
117,0,25919,Brian Vranesh,+.169
121,0,23614,Rich Beem,+.170
121,0,20472,Alex Cejka,+.170
121,0,28620,Aron Price,+.170
124,0,02239,Scott Verplank,+.171
125,0,01132,Mark Brooks,+.174
126,0,28780,Nicholas Thompson,+.175
127,0,06197,Michael Allen,+.176
127,0,22293,Heath Slocum,+.176
127,0,28118,Peter Tomasulo,+.176
127,0,21878,Mark Wilson,+.176
131,0,24138,Ian Poulter,+.177
132,0,23135,Tim Clark,+.179
133,0,01320,Bob Estes,+.181
133,0,12782,Tim Herron,+.181
133,0,25190,Jeff Quinney,+.181
136,0,25345,Carl Pettersson,+.182
136,0,22548,Patrick Sheehan,+.182
138,0,01161,Mark Calcavecchia,+.184
139,0,31416,Derek Fathauer,+.185
139,0,01577,Lee Janzen,+.185
139,0,27933,John Merrick,+.185
142,0,06621,Joe Durant,+.188
143,0,27683,Leif Olson,+.189
143,0,27963,Chris Stroud,+.189
145,0,26476,Chez Reavie,+.190
146,0,20850,Daniel Chopra,+.191
147,0,10809,Jim Furyk,+.193
148,0,10733,Kent Jones,+.194
149,0,25240,D.A. Points,+.195
150,0,24781,Hunter Mahan,+.196
151,0,23778,Brad Adamonis,+.198
152,0,22348,Nick O'Hern,+.200
152,0,20572,Rod Pampling,+.200
152,0,22913,John Rollins,+.200
155,0,20229,Stewart Cink,+.202
156,0,07223,Brian Bateman,+.210
157,0,24357,K.J. Choi,+.211
157,0,10425,Jay Williamson,+.211
159,0,22295,Darron Stiles,+.214
160,0,24846,Ricky Barnes,+.216
161,0,01142,Bart Bryant,+.219
162,0,26497,Casey Wittenberg,+.220
163,0,06012,Greg Kraft,+.221
163,0,26668,Marc Turnesa,+.221
165,0,01707,Steve Lowery,+.224
166,0,23320,Ryan Palmer,+.225
166,0,23788,D.J. Trahan,+.225
168,0,24361,Pat Perez,+.226
169,0,26301,James Nitties,+.227
170,0,25686,Jason Dufner,+.230
171,0,30711,Colt Knost,+.236
