RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
1,0,21753,Brian Davis,-.206
2,0,07363,Craig Bowden,-.171
3,0,02239,Scott Verplank,-.125
4,0,24925,Jonathan Byrd,-.115
5,0,24781,Hunter Mahan,-.111
6,0,23621,Rory Sabbatini,-.103
7,0,02036,Jim Rutledge,-.071
8,0,02104,Jeff Sluman,-.067
9,0,07867,Woody Austin,-.053
10,0,26289,Boo Weekley,-.041
11,0,06004,Stephen Ames,-.040
12,0,01142,Bart Bryant,-.033
13,0,08075,Jerry Kelly,-.030
14,0,21350,Ryuji Imada,-.022
15,0,19972,José Coceres,E
15,0,21806,Paul Gow,E
15,0,24912,Will MacKenzie,E
15,0,28158,Steve Marino,E
15,0,22046,Geoff Ogilvy,E
15,0,25345,Carl Pettersson,E
15,0,24138,Ian Poulter,E
15,0,26882,Michael Sim,E
15,0,02206,David Toms,E
15,0,12602,Dean Wilson,E
15,0,08793,Tiger Woods,E
26,0,08931,Glen Day,+.023
27,0,12652,Cameron Beckman,+.025
28,0,23353,J.J. Henry,+.031
29,0,20105,Jeff Gove,+.032
30,0,01766,Billy Mayfair,+.036
31,0,10860,Justin Leonard,+.040
32,0,22378,Trevor Immelman,+.042
33,0,06522,Ernie Els,+.043
34,0,24358,Robert Garrigus,+.044
35,0,01724,Jeff Maggert,+.047
35,0,25396,Kevin Na,+.047
37,0,12680,Shigeki Maruyama,+.048
38,0,12782,Tim Herron,+.049
39,0,23135,Tim Clark,+.050
40,0,01945,Kenny Perry,+.051
41,0,02223,Bob Tway,+.053
42,0,20378,Mathias Grönberg,+.056
43,0,01810,Phil Mickelson,+.057
44,0,01381,Fred Funk,+.059
44,0,24490,George McNeill,+.059
46,0,25900,Lucas Glover,+.061
47,0,21959,Ted Purdy,+.064
48,0,11032,Frank Lickliter II,+.065
48,0,25892,Steve Wheatcroft,+.065
50,0,24357,K.J. Choi,+.069
51,0,27141,J.B. Holmes,+.070
52,0,01313,Steve Elkington,+.071
53,0,08537,J.P. Hayes,+.073
54,0,11123,Chris Couch,+.074
55,0,23108,Matt Kuchar,+.077
56,0,06621,Joe Durant,+.079
57,0,20127,Chris Riley,+.080
58,0,29718,Anthony Kim,+.082
59,0,01577,Lee Janzen,+.083
59,0,06527,Steve Stricker,+.083
61,0,20574,Mathew Goggin,+.088
61,0,12705,Cliff Kresge,+.088
63,0,20104,Ken Duke,+.089
64,0,27649,Brandt Snedeker,+.091
65,0,20098,Stuart Appleby,+.100
65,0,28475,Jeff Overton,+.100
65,0,22405,Justin Rose,+.100
68,0,21949,Joe Ogilvie,+.102
69,0,20472,Alex Cejka,+.105
70,0,21470,Daisuke Maruyama,+.107
70,0,27933,John Merrick,+.107
70,0,10213,Dicky Pride,+.107
73,0,01249,John Daly,+.109
74,0,12714,Chris Tidland,+.111
75,0,01948,Tim Petrovic,+.113
76,0,21646,David Branshaw,+.115
76,0,25804,Bubba Watson,+.115
78,0,21805,Harrison Frazar,+.116
79,0,23048,Eric Axley,+.122
80,0,22371,Aaron Baddeley,+.125
80,0,10809,Jim Furyk,+.125
80,0,26881,Jarrod Lyle,+.125
83,0,20645,John Senden,+.129
84,0,01706,Davis Love III,+.130
85,0,22212,Craig Lile,+.135
86,0,02101,Joey Sindelar,+.136
87,0,20157,Retief Goosen,+.143
87,0,06373,José María Olazábal,+.143
87,0,02246,Duffy Waldorf,+.143
90,0,22293,Heath Slocum,+.147
91,0,07223,Brian Bateman,+.150
91,0,06567,Vijay Singh,+.150
93,0,07547,Craig Kanada,+.154
93,0,26596,Ryan Moore,+.154
95,0,25273,Andrew Buckle,+.158
96,0,06197,Michael Allen,+.160
96,0,23322,Brett Wetterich,+.160
98,0,24507,Jason Bohn,+.167
98,0,21731,Freddie Jacobson,+.167
100,0,10425,Jay Williamson,+.172
101,0,24140,Sean O'Hair,+.176
101,0,23788,D.J. Trahan,+.176
103,0,21528,Henrik Stenson,+.179
104,0,24457,Jaco Van Zyl,+.182
105,0,06034,Marco Dawson,+.184
105,0,06595,Kevin Sutherland,+.184
107,0,23800,Bryce Molder,+.185
108,0,01320,Bob Estes,+.186
109,0,24290,D.J. Brigman,+.188
109,0,29476,Kyle Reifers,+.188
111,0,20382,Stephen Leaney,+.190
112,0,07749,Brett Quigley,+.194
113,0,01157,Tom Byrum,+.200
113,0,01677,Tom Lehman,+.200
115,0,20850,Daniel Chopra,+.203
116,0,12660,Jesper Parnevik,+.205
117,0,12716,Charley Hoffman,+.211
118,0,06515,Shaun Micheel,+.212
119,0,01473,Todd Hamilton,+.216
120,0,24924,Bill Haas,+.217
121,0,26360,Bubba Dickerson,+.219
121,0,26951,Johnson Wagner,+.219
123,0,01132,Mark Brooks,+.227
124,0,20433,Mark Hensby,+.229
125,0,20634,Peter Lonard,+.231
125,0,22295,Darron Stiles,+.231
127,0,21878,Mark Wilson,+.233
128,0,22913,John Rollins,+.235
129,0,23497,Tag Ridings,+.242
130,0,23614,Rich Beem,+.243
131,0,19803,Ryan Armour,+.244
131,0,20498,Briny Baird,+.244
133,0,24024,Zach Johnson,+.250
133,0,28486,Michael Putnam,+.250
135,0,20572,Rod Pampling,+.257
136,0,27963,Chris Stroud,+.258
137,0,21633,Steve Allan,+.261
138,0,01024,Billy Andrade,+.263
138,0,25190,Jeff Quinney,+.263
140,0,20623,Gavin Coles,+.265
140,0,27095,Nick Watney,+.265
142,0,21209,Sergio Garcia,+.267
143,0,19846,Brian Gay,+.270
144,0,07457,Steve Flesch,+.276
145,0,23718,Nathan Green,+.277
146,0,10885,Robert Allenby,+.280
147,0,27120,Troy Matteson,+.281
147,0,21660,Jason Schultz,+.281
149,0,23320,Ryan Palmer,+.283
149,0,26679,Kevin Stadler,+.283
151,0,23638,Brendon de Jonge,+.286
151,0,20859,Anders Hansen,+.286
151,0,10117,Bob Heintz,+.286
154,0,26420,Richard Johnson,+.294
154,0,23623,Bo Van Pelt,+.294
156,0,24502,Adam Scott,+.300
157,0,27060,John Mallinger,+.304
158,0,06251,Chris DiMarco,+.306
158,0,01797,Rocco Mediate,+.306
160,0,22806,Doug LaBelle II,+.308
160,0,23349,Charles Warren,+.308
162,0,01035,Tommy Armour III,+.320
162,0,22348,Nick O'Hern,+.320
164,0,12195,Tom Johnson,+.321
164,0,01928,Corey Pavin,+.321
166,0,01941,Tom Pernice Jr.,+.323
167,0,20229,Stewart Cink,+.324
168,0,19824,Craig Barlow,+.333
168,0,25686,Jason Dufner,+.333
168,0,22892,Jason Gore,+.333
168,0,24980,Scott Gutschewski,+.333
